val_loss,step,epoch,val_acc,train_epoch_time,train_loss
1.7351089715957642,27,0,0.31555554270744324,,
,27,0,,2.5599992275238037,1.7544728517532349
1.699316382408142,55,1,0.324444442987442,,
,55,1,,6.1261115074157715,1.7225464582443237
1.643763780593872,83,2,0.35555556416511536,,
,83,2,,6.0310773849487305,1.6744571924209595
1.6027027368545532,111,3,0.3733333349227905,,
,111,3,,6.668525695800781,1.6263700723648071
1.5667221546173096,139,4,0.4266666769981384,,
,139,4,,6.7144269943237305,1.59188711643219
1.5306190252304077,167,5,0.5066666603088379,,
,167,5,,6.610861778259277,1.5552446842193604
1.5003803968429565,195,6,0.5799999833106995,,
,195,6,,6.090964317321777,1.5270882844924927
1.4954748153686523,223,7,0.5111111402511597,,
,223,7,,6.357254505157471,1.5047749280929565
1.4625880718231201,251,8,0.5844444632530212,,
,251,8,,6.678369045257568,1.4911147356033325
1.4550920724868774,279,9,0.5866666436195374,,
,279,9,,6.2124552726745605,1.4770829677581787
1.4412633180618286,307,10,0.6622222065925598,,
,307,10,,6.524539470672607,1.467490315437317
1.4380742311477661,335,11,0.6355555653572083,,
,335,11,,6.363269805908203,1.459870457649231
1.4408897161483765,363,12,0.6088888645172119,,
,363,12,,6.572895050048828,1.4529016017913818
1.4326632022857666,391,13,0.6666666865348816,,
,391,13,,6.674124717712402,1.4540504217147827
1.4149664640426636,419,14,0.6644444465637207,,
,419,14,,6.637887954711914,1.4477618932724
1.4089051485061646,447,15,0.6844444274902344,,
,447,15,,6.419081687927246,1.4380840063095093
1.4100854396820068,475,16,0.6822222471237183,,
,475,16,,6.716378211975098,1.43491530418396
1.401890516281128,503,17,0.695555567741394,,
,503,17,,7.457709312438965,1.4352952241897583
1.3962900638580322,531,18,0.6888889074325562,,
,531,18,,7.103473663330078,1.427130937576294
1.392885684967041,559,19,0.695555567741394,,
,559,19,,6.86078405380249,1.4253039360046387
1.3947921991348267,587,20,0.699999988079071,,
,587,20,,6.507290840148926,1.4240524768829346
1.3900152444839478,615,21,0.6977777481079102,,
,615,21,,6.9613494873046875,1.4206246137619019
1.3826396465301514,643,22,0.695555567741394,,
,643,22,,6.4892425537109375,1.4175827503204346
1.388292670249939,671,23,0.6844444274902344,,
,671,23,,6.538613796234131,1.419858455657959
1.3839915990829468,699,24,0.6844444274902344,,
,699,24,,6.652928352355957,1.4151548147201538
1.3816006183624268,727,25,0.6911110877990723,,
,727,25,,6.963895797729492,1.414156436920166
1.3749594688415527,755,26,0.7022222280502319,,
,755,26,,7.211750030517578,1.4121108055114746
1.3742403984069824,783,27,0.7022222280502319,,
,783,27,,6.800379753112793,1.4089057445526123
1.3687947988510132,811,28,0.6977777481079102,,
,811,28,,7.082651138305664,1.4073692560195923
1.3715174198150635,839,29,0.6911110877990723,,
,839,29,,7.179282188415527,1.4070210456848145
1.3667649030685425,867,30,0.7022222280502319,,
,867,30,,6.827229022979736,1.4055665731430054
1.3648310899734497,895,31,0.7088888883590698,,
,895,31,,7.292142868041992,1.4037396907806396
1.3634454011917114,923,32,0.7044444680213928,,
,923,32,,7.382760524749756,1.4034874439239502
1.3665858507156372,951,33,0.6977777481079102,,
,951,33,,6.7957763671875,1.4037212133407593
1.3647799491882324,979,34,0.695555567741394,,
,979,34,,6.8647260665893555,1.410502552986145
1.3590755462646484,1007,35,0.7044444680213928,,
,1007,35,,6.810805320739746,1.4037648439407349
1.3612098693847656,1035,36,0.7088888883590698,,
,1035,36,,7.165253639221191,1.4002379179000854
1.356628179550171,1063,37,0.7155555486679077,,
,1063,37,,7.513975143432617,1.404175877571106
1.3578424453735352,1091,38,0.699999988079071,,
,1091,38,,7.201544761657715,1.3998572826385498
1.3566079139709473,1119,39,0.7111111283302307,,
,1119,39,,7.059080600738525,1.3998342752456665
1.3553414344787598,1147,40,0.7088888883590698,,
,1147,40,,6.7385358810424805,1.3989306688308716
1.3564509153366089,1175,41,0.7088888883590698,,
,1175,41,,7.079641342163086,1.397387981414795
1.3513013124465942,1203,42,0.7222222089767456,,
,1203,42,,6.884223937988281,1.3971189260482788
1.3548306226730347,1231,43,0.7022222280502319,,
,1231,43,,6.939178466796875,1.398388147354126
1.3532183170318604,1259,44,0.7044444680213928,,
,1259,44,,7.330022811889648,1.3953304290771484
1.3566001653671265,1287,45,0.6977777481079102,,
,1287,45,,6.357253074645996,1.3935546875
1.3476229906082153,1315,46,0.7088888883590698,,
,1315,46,,6.89202880859375,1.3960657119750977
1.351346731185913,1343,47,0.7111111283302307,,
,1343,47,,7.048656463623047,1.3956834077835083
1.3458768129348755,1371,48,0.7111111283302307,,
,1371,48,,6.760392189025879,1.393172025680542
1.3520563840866089,1399,49,0.7133333086967468,,
,1399,49,,6.67976713180542,1.3921688795089722
1.3520569801330566,1427,50,0.6933333277702332,,
,1427,50,,7.027661323547363,1.3904200792312622
1.347891926765442,1455,51,0.6977777481079102,,
,1455,51,,7.0974836349487305,1.3937102556228638
1.3506618738174438,1483,52,0.7066666483879089,,
,1483,52,,6.642588138580322,1.39361572265625
1.3475449085235596,1511,53,0.7022222280502319,,
,1511,53,,6.910342693328857,1.3926423788070679
1.35720694065094,1539,54,0.7044444680213928,,
,1539,54,,6.374334335327148,1.3904955387115479
1.3448493480682373,1567,55,0.7088888883590698,,
,1567,55,,6.946560859680176,1.3949949741363525
1.348701000213623,1595,56,0.7088888883590698,,
,1595,56,,7.6486053466796875,1.3906095027923584
1.3579391241073608,1623,57,0.6888889074325562,,
,1623,57,,7.099740028381348,1.3917851448059082
