epoch,val_loss,step,val_acc,train_loss,train_epoch_time
67,,747,,1.196445345878601,10.533625602722168
68,1.5042710304260254,758,0.5399060845375061,,
68,,758,,1.1963496208190918,10.931163787841797
69,1.5042693614959717,769,0.5234741568565369,,
69,,769,,1.1965659856796265,10.904792785644531
70,1.504124402999878,780,0.5328638553619385,,
70,,780,,1.1969455480575562,10.130627632141113
71,1.5041887760162354,791,0.5234741568565369,,
71,,791,,1.1965826749801636,11.802623748779297
72,1.5042059421539307,802,0.5234741568565369,,
72,,802,,1.1966824531555176,10.754276275634766
73,1.5039722919464111,813,0.5234741568565369,,
73,,813,,1.1963739395141602,11.286816596984863
74,1.5039639472961426,824,0.5234741568565369,,
74,,824,,1.1961952447891235,11.583309173583984
75,1.5045620203018188,835,0.5234741568565369,,
75,,835,,1.1969321966171265,11.07369327545166
76,1.5044293403625488,846,0.5234741568565369,,
76,,846,,1.1985266208648682,10.897974967956543
77,1.504126787185669,857,0.5258215665817261,,
77,,857,,1.1963046789169312,10.607025146484375
78,1.5042471885681152,868,0.5234741568565369,,
78,,868,,1.1965543031692505,10.527194023132324
79,1.5041131973266602,879,0.5234741568565369,,
79,,879,,1.197438359260559,11.780588150024414
80,1.5041224956512451,890,0.5187793374061584,,
80,,890,,1.1956731081008911,10.809367179870605
81,1.5012520551681519,901,0.5258215665817261,,
81,,901,,1.196542501449585,10.683355331420898
82,1.503908634185791,912,0.5187793374061584,,
82,,912,,1.2225406169891357,11.333146095275879
83,1.5083134174346924,923,0.5234741568565369,,
83,,923,,1.2030736207962036,11.160847663879395
84,1.5024380683898926,934,0.5258215665817261,,
84,,934,,1.200191617012024,11.603370666503906
85,1.5155408382415771,945,0.5211267471313477,,
85,,945,,1.2079975605010986,11.091995239257812
86,1.514854907989502,956,0.5117371082305908,,
86,,956,,1.213216781616211,10.501483917236328
87,1.5168769359588623,967,0.5023474097251892,,
87,,967,,1.2117871046066284,10.896247863769531
88,1.5129472017288208,978,0.51408451795578,,
88,,978,,1.1986767053604126,10.776277542114258
89,1.5117698907852173,989,0.5164319276809692,,
89,,989,,1.1975135803222656,8.792841911315918
90,1.5113850831985474,1000,0.5187793374061584,,
90,,1000,,1.1971465349197388,8.098363876342773
91,1.512854814529419,1011,0.5164319276809692,,
91,,1011,,1.195873498916626,10.868022918701172
92,1.5133750438690186,1022,0.51408451795578,,
92,,1022,,1.1962122917175293,11.054643630981445
93,1.5130536556243896,1033,0.51408451795578,,
93,,1033,,1.1956464052200317,11.356866836547852
94,1.5127861499786377,1044,0.5164319276809692,,
94,,1044,,1.1968985795974731,11.523195266723633
95,1.5121251344680786,1055,0.5164319276809692,,
95,,1055,,1.1954762935638428,11.331029891967773
96,1.5120513439178467,1066,0.5164319276809692,,
96,,1066,,1.19575035572052,10.77308464050293
97,1.511568546295166,1077,0.5164319276809692,,
97,,1077,,1.195773959159851,10.80888843536377
98,1.5113712549209595,1088,0.5164319276809692,,
98,,1088,,1.1954172849655151,10.791942596435547
99,1.5118744373321533,1099,0.5164319276809692,,
99,,1099,,1.197137475013733,10.804506301879883
