epoch,val_loss,step,val_acc,train_loss,train_epoch_time
0,1.7732294797897339,10,0.17605634033679962,,
0,,10,,1.7848987579345703,2.682030200958252
1,1.7337121963500977,21,0.3380281627178192,,
1,,21,,1.7394717931747437,9.216473579406738
2,1.6814775466918945,32,0.38967135548591614,,
2,,32,,1.6625169515609741,11.164644241333008
3,1.6485865116119385,43,0.42957746982574463,,
3,,43,,1.5802909135818481,10.922160148620605
4,1.6149095296859741,54,0.5046948194503784,,
4,,54,,1.5194482803344727,10.78707504272461
5,1.5944675207138062,65,0.4553990662097931,,
5,,65,,1.4676986932754517,10.607303619384766
6,1.5721337795257568,76,0.5023474097251892,,
6,,76,,1.4366087913513184,11.245492935180664
7,1.5663939714431763,87,0.5,,
7,,87,,1.3959424495697021,10.610739707946777
8,1.5567986965179443,98,0.5070422291755676,,
8,,98,,1.3632367849349976,10.564409255981445
9,1.5488648414611816,109,0.5093896985054016,,
9,,109,,1.3339425325393677,10.424318313598633
10,1.5397735834121704,120,0.51408451795578,,
10,,120,,1.30953049659729,10.394983291625977
11,1.5330746173858643,131,0.5164319276809692,,
11,,131,,1.2919508218765259,10.384466171264648
12,1.5300507545471191,142,0.5234741568565369,,
12,,142,,1.2806792259216309,12.381611824035645
13,1.5316370725631714,153,0.5164319276809692,,
13,,153,,1.2702652215957642,11.67973518371582
14,1.5285929441452026,164,0.5164319276809692,,
14,,164,,1.262485384941101,10.052068710327148
15,1.5286564826965332,175,0.51408451795578,,
15,,175,,1.2551629543304443,11.655083656311035
16,1.518132209777832,186,0.5234741568565369,,
16,,186,,1.2492222785949707,10.959770202636719
17,1.507657766342163,197,0.5281690359115601,,
17,,197,,1.2383713722229004,11.1063871383667
18,1.5113484859466553,208,0.51408451795578,,
18,,208,,1.2249982357025146,10.776237487792969
19,1.5061360597610474,219,0.5258215665817261,,
19,,219,,1.2264125347137451,11.187453269958496
20,1.5103310346603394,230,0.51408451795578,,
20,,230,,1.219337821006775,10.97197151184082
21,1.4961992502212524,241,0.5305164456367493,,
21,,241,,1.2258987426757812,11.569169044494629
22,1.494705080986023,252,0.5234741568565369,,
22,,252,,1.2200119495391846,11.468948364257812
23,1.4943718910217285,263,0.5258215665817261,,
23,,263,,1.2146518230438232,11.477577209472656
24,1.5039443969726562,274,0.5164319276809692,,
24,,274,,1.2096731662750244,11.167373657226562
25,1.504662275314331,285,0.5211267471313477,,
25,,285,,1.213291049003601,11.098128318786621
26,1.4976218938827515,296,0.5258215665817261,,
26,,296,,1.2107605934143066,10.797398567199707
27,1.501670479774475,307,0.5704225301742554,,
27,,307,,1.2080152034759521,11.111662864685059
28,1.5136618614196777,318,0.5164319276809692,,
28,,318,,1.2113845348358154,10.560919761657715
29,1.533646821975708,329,0.4976525902748108,,
29,,329,,1.2185827493667603,11.434835433959961
30,1.5126245021820068,340,0.5234741568565369,,
30,,340,,1.2199569940567017,11.604331970214844
31,1.50474214553833,351,0.5258215665817261,,
31,,351,,1.2073571681976318,11.119009017944336
32,1.5045918226242065,362,0.5234741568565369,,
32,,362,,1.2018249034881592,10.722857475280762
33,1.5076193809509277,373,0.5234741568565369,,
33,,373,,1.2005581855773926,10.762045860290527
34,1.5085128545761108,384,0.5164319276809692,,
34,,384,,1.1995062828063965,10.643997192382812
35,1.508483648300171,395,0.5164319276809692,,
35,,395,,1.1991000175476074,11.537832260131836
36,1.5051844120025635,406,0.5234741568565369,,
36,,406,,1.2000442743301392,10.88780403137207
37,1.5046478509902954,417,0.5234741568565369,,
37,,417,,1.201113224029541,10.828502655029297
38,1.5067650079727173,428,0.5164319276809692,,
38,,428,,1.1988600492477417,10.1480131149292
39,1.5073660612106323,439,0.5187793374061584,,
39,,439,,1.198131799697876,10.68069839477539
40,1.5062402486801147,450,0.5187793374061584,,
40,,450,,1.197790503501892,12.411932945251465
41,1.5068801641464233,461,0.5164319276809692,,
41,,461,,1.1980699300765991,11.489200592041016
42,1.506800651550293,472,0.51408451795578,,
42,,472,,1.1974258422851562,12.456442832946777
43,1.5064564943313599,483,0.5164319276809692,,
43,,483,,1.1974513530731201,10.74336051940918
44,1.5068012475967407,494,0.5164319276809692,,
44,,494,,1.1974495649337769,10.948163986206055
45,1.5068702697753906,505,0.5164319276809692,,
45,,505,,1.1969822645187378,10.701549530029297
46,1.5067453384399414,516,0.5164319276809692,,
46,,516,,1.1976795196533203,11.236385345458984
47,1.5065927505493164,527,0.5164319276809692,,
47,,527,,1.1972733736038208,11.151762962341309
48,1.5070433616638184,538,0.5164319276809692,,
48,,538,,1.1974378824234009,10.518141746520996
49,1.5063164234161377,549,0.5211267471313477,,
49,,549,,1.1968599557876587,11.076679229736328
50,1.5064224004745483,560,0.5211267471313477,,
50,,560,,1.1978150606155396,10.898470878601074
51,1.506066083908081,571,0.5211267471313477,,
51,,571,,1.1965925693511963,10.625186920166016
52,1.5061821937561035,582,0.5234741568565369,,
52,,582,,1.1966933012008667,10.965251922607422
53,1.505885124206543,593,0.5234741568565369,,
53,,593,,1.1969720125198364,11.703720092773438
54,1.5055289268493652,604,0.5258215665817261,,
54,,604,,1.1969867944717407,11.841227531433105
55,1.5054064989089966,615,0.5234741568565369,,
55,,615,,1.1968094110488892,11.56080436706543
56,1.5055172443389893,626,0.5234741568565369,,
56,,626,,1.1971439123153687,10.899951934814453
57,1.505111813545227,637,0.5234741568565369,,
57,,637,,1.1967591047286987,10.628901481628418
58,1.5049071311950684,648,0.5234741568565369,,
58,,648,,1.1963764429092407,10.7103910446167
59,1.505454659461975,659,0.5234741568565369,,
59,,659,,1.1981288194656372,11.695802688598633
60,1.5046868324279785,670,0.5234741568565369,,
60,,670,,1.1967761516571045,10.784486770629883
61,1.5048890113830566,681,0.5234741568565369,,
61,,681,,1.1968308687210083,10.974374771118164
62,1.5045145750045776,692,0.5234741568565369,,
62,,692,,1.1964775323867798,11.130413055419922
63,1.50448477268219,703,0.5234741568565369,,
63,,703,,1.1966853141784668,11.304960250854492
64,1.5043952465057373,714,0.5234741568565369,,
64,,714,,1.1969668865203857,11.28628158569336
65,1.5043538808822632,725,0.5234741568565369,,
65,,725,,1.1966404914855957,11.746333122253418
66,1.5044339895248413,736,0.5234741568565369,,
66,,736,,1.1968523263931274,11.311826705932617
67,1.5042604207992554,747,0.5234741568565369,,
