step,val_loss,epoch,train_epoch_time,train_loss
167,,27,8.376707077026367,0.5096467733383179
173,0.4631948471069336,28,,
173,,28,8.107300758361816,0.5073462724685669
179,0.5085362195968628,29,,
179,,29,8.309282302856445,0.4773441553115845
185,0.5127767324447632,30,,
185,,30,8.32870101928711,0.4813460409641266
191,0.452603816986084,31,,
191,,31,7.697039604187012,0.48370984196662903
197,0.5001538991928101,32,,
197,,32,8.208479881286621,0.5021236538887024
203,0.4789502024650574,33,,
203,,33,7.962438106536865,0.49007782340049744
209,0.40459316968917847,34,,
209,,34,7.9927568435668945,0.48541003465652466
215,0.4722483158111572,35,,
215,,35,8.263032913208008,0.4812490940093994
221,0.4668334126472473,36,,
221,,36,7.78545618057251,0.4584932327270508
227,0.5614856481552124,37,,
227,,37,7.634669303894043,0.4789705276489258
233,0.47744816541671753,38,,
233,,38,8.063612937927246,0.471494197845459
239,0.47155672311782837,39,,
239,,39,8.085342407226562,0.4721977710723877
245,0.4286802411079407,40,,
245,,40,7.853519439697266,0.4653072953224182
251,0.4783221185207367,41,,
251,,41,8.16942024230957,0.47218242287635803
257,0.4955880045890808,42,,
257,,42,7.822981834411621,0.46936511993408203
263,0.44132471084594727,43,,
263,,43,7.559826850891113,0.4436735212802887
269,0.4598615765571594,44,,
269,,44,7.484627723693848,0.49258291721343994
275,0.4480054974555969,45,,
275,,45,8.245964050292969,0.49358782172203064
281,0.4625477194786072,46,,
281,,46,8.022884368896484,0.47490912675857544
287,0.4136795997619629,47,,
287,,47,8.218352317810059,0.46403270959854126
293,0.49986037611961365,48,,
293,,48,8.018808364868164,0.4738447666168213
299,0.4613358974456787,49,,
299,,49,8.152311325073242,0.4779004156589508
305,0.5233886241912842,50,,
305,,50,8.225446701049805,0.4492641091346741
311,0.4926016330718994,51,,
311,,51,7.547443389892578,0.4748699367046356
317,0.4906453490257263,52,,
317,,52,7.744830131530762,0.48394545912742615
323,0.5111629962921143,53,,
323,,53,7.924482822418213,0.4591253697872162
329,0.4694579541683197,54,,
329,,54,8.402944564819336,0.48876163363456726
335,0.5315768122673035,55,,
335,,55,8.2714262008667,0.46319571137428284
341,0.47726431488990784,56,,
341,,56,8.090407371520996,0.5188303589820862
347,0.5107510089874268,57,,
347,,57,8.640684127807617,0.4874906539916992
353,0.5044447183609009,58,,
353,,58,7.5910749435424805,0.4605352580547333
359,0.5114316940307617,59,,
359,,59,7.754937648773193,0.4449830949306488
365,0.4385738968849182,60,,
365,,60,8.15628433227539,0.46086743474006653
371,0.4947439134120941,61,,
371,,61,8.505117416381836,0.49939942359924316
377,0.4762595295906067,62,,
377,,62,7.928896903991699,0.4600904881954193
383,0.4790903925895691,63,,
383,,63,8.274141311645508,0.4516464173793793
389,0.47660547494888306,64,,
389,,64,7.964938640594482,0.4893660545349121
395,0.49710506200790405,65,,
395,,65,8.831475257873535,0.47527703642845154
401,0.4367029666900635,66,,
401,,66,8.278240203857422,0.48688286542892456
407,0.42866429686546326,67,,
407,,67,8.116955757141113,0.4716894328594208
413,0.49783867597579956,68,,
413,,68,7.763596534729004,0.45573434233665466
419,0.479405015707016,69,,
419,,69,8.29783821105957,0.4894450008869171
425,0.46713757514953613,70,,
425,,70,8.006675720214844,0.49686291813850403
431,0.4646206796169281,71,,
431,,71,7.515110969543457,0.46249568462371826
437,0.5030868053436279,72,,
437,,72,8.190774917602539,0.4845482409000397
443,0.4347439408302307,73,,
443,,73,8.685591697692871,0.4528138041496277
449,0.422264963388443,74,,
449,,74,8.320798873901367,0.4593439996242523
455,0.40091437101364136,75,,
455,,75,8.632599830627441,0.48062658309936523
461,0.5031006336212158,76,,
461,,76,7.413974285125732,0.4838249087333679
467,0.4744298458099365,77,,
467,,77,7.929491996765137,0.44498538970947266
473,0.5120819211006165,78,,
473,,78,8.130897521972656,0.4696170687675476
479,0.46879974007606506,79,,
479,,79,8.428245544433594,0.46274131536483765
485,0.5354976058006287,80,,
485,,80,8.247320175170898,0.4566998779773712
491,0.4834567904472351,81,,
491,,81,8.721075057983398,0.45386964082717896
497,0.4613240361213684,82,,
497,,82,7.854828834533691,0.48382294178009033
503,0.435737282037735,83,,
503,,83,7.965786933898926,0.47134339809417725
509,0.45714735984802246,84,,
509,,84,8.010286331176758,0.44247886538505554
515,0.4474928379058838,85,,
515,,85,8.66793155670166,0.47354429960250854
521,0.5675990581512451,86,,
521,,86,7.498465061187744,0.4484844505786896
527,0.5112714171409607,87,,
527,,87,8.126056671142578,0.4375534653663635
533,0.4570181965827942,88,,
533,,88,8.108115196228027,0.4382781386375427
539,0.468627393245697,89,,
539,,89,7.632450103759766,0.47170764207839966
545,0.47327032685279846,90,,
545,,90,7.152447700500488,0.4521549344062805
551,0.5004543662071228,91,,
551,,91,7.979363441467285,0.4607793986797333
557,0.42583829164505005,92,,
557,,92,7.481576919555664,0.4471006393432617
563,0.5066660642623901,93,,
563,,93,7.649289608001709,0.44793131947517395
569,0.4284333288669586,94,,
569,,94,7.851717948913574,0.44830605387687683
575,0.41492003202438354,95,,
575,,95,8.832984924316406,0.4435069262981415
581,0.5029956102371216,96,,
581,,96,8.141501426696777,0.44862842559814453
587,0.44799280166625977,97,,
587,,97,9.230472564697266,0.4654010534286499
593,0.43168753385543823,98,,
593,,98,8.059440612792969,0.4560120403766632
599,0.44495147466659546,99,,
599,,99,8.425788879394531,0.4596499800682068
