step,val_loss,epoch,train_epoch_time,train_loss
5,0.6930230259895325,0,,
5,,0,5.303036689758301,0.698237955570221
11,0.6921575665473938,1,,
11,,1,7.690370082855225,0.6922178864479065
17,0.691400408744812,2,,
17,,2,7.669050693511963,0.6954054832458496
23,0.6885055899620056,3,,
23,,3,7.69279670715332,0.69343101978302
29,0.6866590976715088,4,,
29,,4,8.007091522216797,0.6929063200950623
35,0.6888160705566406,5,,
35,,5,7.946385860443115,0.6893770098686218
41,0.6771066784858704,6,,
41,,6,7.9072771072387695,0.6887288093566895
47,0.6877115964889526,7,,
47,,7,7.117477893829346,0.6882898807525635
53,0.6808706521987915,8,,
53,,8,7.326816558837891,0.6864126324653625
59,0.6623895764350891,9,,
59,,9,7.236739635467529,0.6728256940841675
65,0.5493931770324707,10,,
65,,10,7.400747299194336,0.6521928906440735
71,0.4578888416290283,11,,
71,,11,7.619978904724121,0.5747277140617371
77,0.511527419090271,12,,
77,,12,7.471883773803711,0.5819132924079895
83,0.5023950338363647,13,,
83,,13,7.620087146759033,0.5601892471313477
89,0.49885424971580505,14,,
89,,14,7.61226224899292,0.5396966338157654
95,0.5694591403007507,15,,
95,,15,7.844201564788818,0.5601440668106079
101,0.4799146056175232,16,,
101,,16,7.604389667510986,0.5402456521987915
107,0.4654870629310608,17,,
107,,17,8.222622871398926,0.5093213319778442
113,0.4906753897666931,18,,
113,,18,7.695757865905762,0.512016773223877
119,0.5172508955001831,19,,
119,,19,7.692770481109619,0.5081929564476013
125,0.5256218314170837,20,,
125,,20,8.747858047485352,0.5005884170532227
131,0.4784843325614929,21,,
131,,21,7.941644191741943,0.47172456979751587
137,0.5280857682228088,22,,
137,,22,8.067695617675781,0.5108392238616943
143,0.5758464932441711,23,,
143,,23,8.250448226928711,0.4918491244316101
149,0.5378608703613281,24,,
149,,24,8.335615158081055,0.5292026996612549
155,0.5123682618141174,25,,
155,,25,8.233619689941406,0.5165549516677856
161,0.48184043169021606,26,,
161,,26,8.009598731994629,0.487053781747818
167,0.44350266456604004,27,,
