step,epoch,val_acc,val_loss,train_loss,train_epoch_time
10,0,0.3239436745643616,1.6845587491989136,,
10,0,,,1.7134166955947876,5.526971340179443
21,1,0.32159623503685,1.6497745513916016,,
21,1,,,1.6578035354614258,11.443367958068848
32,2,0.43896713852882385,1.614424467086792,,
32,2,,,1.6184335947036743,10.486414909362793
43,3,0.46948355436325073,1.5860377550125122,,
43,3,,,1.5825984477996826,11.450539588928223
54,4,0.4600938856601715,1.57240891456604,,
54,4,,,1.54671311378479,12.93841552734375
65,5,0.4553990662097931,1.5550132989883423,,
65,5,,,1.5235657691955566,11.682741165161133
76,6,0.47652581334114075,1.5482821464538574,,
76,6,,,1.5005043745040894,11.41065788269043
87,7,0.5,1.5389678478240967,,
87,7,,,1.4801758527755737,10.825332641601562
98,8,0.47652581334114075,1.5443060398101807,,
98,8,,,1.4590991735458374,11.964054107666016
109,9,0.47887325286865234,1.53922700881958,,
109,9,,,1.4313600063323975,12.884428024291992
120,10,0.4530516564846039,1.546580195426941,,
120,10,,,1.4045965671539307,11.172682762145996
131,11,0.4507042169570923,1.551747441291809,,
131,11,,,1.3823329210281372,11.134834289550781
142,12,0.44131454825401306,1.5620554685592651,,
142,12,,,1.364791750907898,11.101114273071289
153,13,0.4154929518699646,1.5895819664001465,,
153,13,,,1.3617768287658691,11.132978439331055
164,14,0.4061032831668854,1.6096162796020508,,
164,14,,,1.3501253128051758,11.110784530639648
175,15,0.39671361446380615,1.6080379486083984,,
175,15,,,1.3403908014297485,11.12279987335205
186,16,0.38732394576072693,1.6103529930114746,,
186,16,,,1.3311470746994019,10.972354888916016
197,17,0.3826290965080261,1.612157940864563,,
197,17,,,1.3253188133239746,11.30652141571045
208,18,0.3755868673324585,1.615970253944397,,
208,18,,,1.3177999258041382,10.629074096679688
219,19,0.3732394278049469,1.620051383972168,,
219,19,,,1.3142673969268799,10.89039421081543
230,20,0.3779342770576477,1.624874472618103,,
230,20,,,1.3117541074752808,11.154343605041504
241,21,0.3755868673324585,1.6271144151687622,,
241,21,,,1.3099310398101807,11.350076675415039
252,22,0.36150234937667847,1.6282705068588257,,
252,22,,,1.3054161071777344,11.461610794067383
263,23,0.3755868673324585,1.6261554956436157,,
263,23,,,1.3016977310180664,10.804384231567383
274,24,0.3661971688270569,1.631883978843689,,
274,24,,,1.2978507280349731,13.61528491973877
