val_loss,step,epoch,train_loss,train_epoch_time
0.6915390491485596,17,0,,
,17,0,0.6961648464202881,6.548666954040527
0.6941665410995483,35,1,,
,35,1,0.6926873922348022,9.511514663696289
0.6918527483940125,53,2,,
,53,2,0.6925754547119141,8.963972091674805
0.6888872385025024,71,3,,
,71,3,0.6923043131828308,8.541387557983398
0.6916803121566772,89,4,,
,89,4,0.6922906637191772,8.945138931274414
0.6891319155693054,107,5,,
,107,5,0.6915592551231384,9.04574203491211
0.687221884727478,125,6,,
,125,6,0.6907888054847717,8.880794525146484
0.6502875685691833,143,7,,
,143,7,0.6822713017463684,8.942850112915039
0.6553966403007507,161,8,,
,161,8,0.6670904755592346,8.956663131713867
0.6541197896003723,179,9,,
,179,9,0.6567480564117432,9.029963493347168
0.6471145153045654,197,10,,
,197,10,0.6559128165245056,8.93742561340332
0.6400944590568542,215,11,,
,215,11,0.6472644209861755,9.086024284362793
0.6352142095565796,233,12,,
,233,12,0.6531084775924683,9.518997192382812
0.636242687702179,251,13,,
,251,13,0.6530923247337341,9.65312671661377
0.6287616491317749,269,14,,
,269,14,0.6432117223739624,8.58285140991211
0.6074146628379822,287,15,,
,287,15,0.6464657187461853,9.059606552124023
0.6165717840194702,305,16,,
,305,16,0.6440794467926025,8.84444808959961
0.6274527907371521,323,17,,
,323,17,0.6426694989204407,9.17317008972168
0.639828622341156,341,18,,
,341,18,0.6370721459388733,8.991976737976074
0.6083551645278931,359,19,,
,359,19,0.6374991536140442,8.872781753540039
0.6164315342903137,377,20,,
,377,20,0.6525044441223145,8.812744140625
0.6239522099494934,395,21,,
,395,21,0.6440852880477905,8.544717788696289
0.6478167772293091,413,22,,
,413,22,0.6384239196777344,8.925575256347656
0.613518476486206,431,23,,
,431,23,0.6454313397407532,8.845865249633789
0.5957239270210266,449,24,,
,449,24,0.6417187452316284,9.4786958694458
0.5945009589195251,467,25,,
,467,25,0.6349031925201416,9.17016315460205
0.6394516825675964,485,26,,
,485,26,0.626818835735321,9.087043762207031
0.6199784278869629,503,27,,
,503,27,0.6287115216255188,9.163902282714844
0.6356962323188782,521,28,,
,521,28,0.6153252124786377,9.602683067321777
0.6122795939445496,539,29,,
,539,29,0.6173979640007019,8.829806327819824
0.599319577217102,557,30,,
,557,30,0.6070793867111206,9.670232772827148
0.6393120884895325,575,31,,
,575,31,0.6110950112342834,9.578325271606445
0.5837597846984863,593,32,,
,593,32,0.6106522679328918,8.736833572387695
0.6341414451599121,611,33,,
,611,33,0.6043477654457092,9.32012939453125
0.6054905652999878,629,34,,
,629,34,0.5957948565483093,9.517476081848145
0.5587703585624695,647,35,,
,647,35,0.6026535034179688,8.846524238586426
0.6037219762802124,665,36,,
,665,36,0.597258448600769,8.889143943786621
0.6047215461730957,683,37,,
,683,37,0.6033617258071899,8.90433120727539
0.5860468745231628,701,38,,
,701,38,0.6012259125709534,9.245830535888672
0.6054242849349976,719,39,,
,719,39,0.6089105606079102,9.277594566345215
0.61337810754776,737,40,,
,737,40,0.6099852323532104,9.08333683013916
0.6152167320251465,755,41,,
,755,41,0.6127121448516846,9.158201217651367
0.6236376762390137,773,42,,
,773,42,0.6063079833984375,9.28846549987793
0.574486494064331,791,43,,
,791,43,0.6038167476654053,8.951197624206543
0.590526282787323,809,44,,
,809,44,0.5983431339263916,9.272491455078125
0.6256338357925415,827,45,,
,827,45,0.611365556716919,8.986257553100586
0.6223188042640686,845,46,,
,845,46,0.5953783392906189,9.017223358154297
0.6243351101875305,863,47,,
,863,47,0.5968696475028992,8.568445205688477
0.6168856024742126,881,48,,
,881,48,0.6120249629020691,8.48576831817627
0.6428942084312439,899,49,,
,899,49,0.6165373921394348,8.422148704528809
0.5936810374259949,917,50,,
,917,50,0.5996220111846924,8.962631225585938
0.6469590067863464,935,51,,
,935,51,0.6133695244789124,8.476317405700684
0.5913363695144653,953,52,,
,953,52,0.6029907464981079,8.561555862426758
0.5935612916946411,971,53,,
,971,53,0.6047134399414062,9.016730308532715
0.6048105955123901,989,54,,
,989,54,0.5993819236755371,9.321525573730469
0.5886723399162292,1007,55,,
,1007,55,0.5972775816917419,9.246489524841309
0.583108127117157,1025,56,,
,1025,56,0.6005235910415649,9.429656982421875
0.6070038676261902,1043,57,,
,1043,57,0.6090827584266663,9.400485038757324
0.601840615272522,1061,58,,
,1061,58,0.602449357509613,9.279058456420898
