val_loss,val_acc,epoch,step,train_loss,train_epoch_time
1.7071142196655273,0.4000000059604645,0,18,,
,,0,18,1.750732421875,5.943002700805664
1.6248315572738647,0.3970588147640228,1,37,,
,,1,37,1.6654480695724487,11.87743854522705
1.6059712171554565,0.39411765336990356,2,56,,
,,2,56,1.6185375452041626,11.197151184082031
1.5981640815734863,0.4264705777168274,3,75,,
,,3,75,1.6057374477386475,11.67607307434082
1.603272557258606,0.4588235318660736,4,94,,
,,4,94,1.6097776889801025,12.123392105102539
1.6453888416290283,0.38823530077934265,5,113,,
,,5,113,1.671766996383667,11.02617073059082
1.6313856840133667,0.38235294818878174,6,132,,
,,6,132,1.6996394395828247,17.464441299438477
1.550372838973999,0.4676470458507538,7,151,,
,,7,151,1.6567444801330566,12.274432182312012
1.4607182741165161,0.5558823347091675,8,170,,
,,8,170,1.5211180448532104,12.0203218460083
1.4239997863769531,0.6088235378265381,9,189,,
,,9,189,1.453113079071045,12.261155128479004
1.399678349494934,0.5970588326454163,10,208,,
,,10,208,1.421627163887024,12.023092269897461
1.3855102062225342,0.5941176414489746,11,227,,
,,11,227,1.4025052785873413,11.971338272094727
1.3363251686096191,0.7852941155433655,12,246,,
,,12,246,1.3717949390411377,11.732542037963867
1.2494901418685913,0.7941176295280457,13,265,,
,,13,265,1.3011302947998047,12.347975730895996
1.2286432981491089,0.800000011920929,14,284,,
,,14,284,1.2553704977035522,12.473361015319824
1.2253623008728027,0.800000011920929,15,303,,
,,15,303,1.2450613975524902,14.396536827087402
1.2359408140182495,0.800000011920929,16,322,,
,,16,322,1.2478073835372925,12.131522178649902
1.233843445777893,0.7882353067398071,17,341,,
,,17,341,1.2349640130996704,12.472688674926758
1.2279127836227417,0.7970588207244873,18,360,,
,,18,360,1.231740951538086,12.120121002197266
1.2276326417922974,0.7970588207244873,19,379,,
,,19,379,1.2282079458236694,12.611281394958496
1.2273881435394287,0.7970588207244873,20,398,,
,,20,398,1.2298415899276733,11.94405746459961
1.2233319282531738,0.800000011920929,21,417,,
,,21,417,1.2297148704528809,11.508743286132812
1.2237190008163452,0.7941176295280457,22,436,,
,,22,436,1.2268742322921753,12.441620826721191
1.2228995561599731,0.800000011920929,23,455,,
,,23,455,1.2256594896316528,11.900101661682129
1.222641944885254,0.8029412031173706,24,474,,
,,24,474,1.2247653007507324,11.56809139251709
1.2245124578475952,0.7970588207244873,25,493,,
,,25,493,1.225006103515625,11.807035446166992
1.223760724067688,0.800000011920929,26,512,,
,,26,512,1.2249149084091187,11.846759796142578
1.2237780094146729,0.800000011920929,27,531,,
,,27,531,1.2243695259094238,12.042011260986328
1.2235589027404785,0.8147059082984924,28,550,,
,,28,550,1.225321888923645,12.107843399047852
1.221946358680725,0.7911764979362488,29,569,,
,,29,569,1.2239638566970825,11.988953590393066
1.221912145614624,0.8029412031173706,30,588,,
,,30,588,1.224263072013855,11.713268280029297
1.2218292951583862,0.800000011920929,31,607,,
,,31,607,1.2238945960998535,11.618407249450684
1.2217622995376587,0.8029412031173706,32,626,,
,,32,626,1.224090576171875,11.298789024353027
1.2217295169830322,0.800000011920929,33,645,,
,,33,645,1.2243614196777344,9.7724609375
1.22183096408844,0.800000011920929,34,664,,
,,34,664,1.2243473529815674,12.275257110595703
1.222046136856079,0.7970588207244873,35,683,,
,,35,683,1.2242274284362793,12.033960342407227
1.2219724655151367,0.800000011920929,36,702,,
,,36,702,1.2250940799713135,11.663043022155762
1.2228316068649292,0.7941176295280457,37,721,,
,,37,721,1.2236158847808838,11.705336570739746
1.2284049987792969,0.800000011920929,38,740,,
,,38,740,1.2267615795135498,11.762473106384277
1.2271565198898315,0.800000011920929,39,759,,
,,39,759,1.224692940711975,11.717218399047852
1.2272491455078125,0.7941176295280457,40,778,,
,,40,778,1.2264125347137451,11.570486068725586
1.231850266456604,0.7911764979362488,41,797,,
,,41,797,1.224847435951233,11.386585235595703
1.2313809394836426,0.7911764979362488,42,816,,
,,42,816,1.2291854619979858,11.629815101623535
1.2291890382766724,0.7941176295280457,43,835,,
,,43,835,1.225838541984558,11.350488662719727
1.2270675897598267,0.7852941155433655,44,854,,
,,44,854,1.2234621047973633,11.48294448852539
1.2256015539169312,0.7970588207244873,45,873,,
,,45,873,1.2244383096694946,12.226212501525879
1.2237544059753418,0.7970588207244873,46,892,,
,,46,892,1.2226999998092651,12.905895233154297
1.2233949899673462,0.8029412031173706,47,911,,
,,47,911,1.2246057987213135,13.417156219482422
1.223605751991272,0.7970588207244873,48,930,,
,,48,930,1.2242201566696167,13.418456077575684
1.2233161926269531,0.8058823347091675,49,949,,
,,49,949,1.2250908613204956,11.747520446777344
1.2236626148223877,0.7970588207244873,50,968,,
,,50,968,1.2256735563278198,11.838876724243164
1.2229955196380615,0.800000011920929,51,987,,
,,51,987,1.226101040840149,11.95023250579834
1.222765564918518,0.8117647171020508,52,1006,,
,,52,1006,1.2271618843078613,11.998388290405273
1.2225477695465088,0.8088235259056091,53,1025,,
,,53,1025,1.2241404056549072,11.488420486450195
1.2224253416061401,0.8029412031173706,54,1044,,
,,54,1044,1.2247976064682007,11.963993072509766
1.222386121749878,0.820588231086731,55,1063,,
,,55,1063,1.2260140180587769,11.405928611755371
1.2229756116867065,0.800000011920929,56,1082,,
,,56,1082,1.2244971990585327,11.412318229675293
1.222238540649414,0.7941176295280457,57,1101,,
,,57,1101,1.224938154220581,11.730826377868652
1.2227650880813599,0.800000011920929,58,1120,,
,,58,1120,1.2236613035202026,11.80376148223877
1.2222033739089966,0.8088235259056091,59,1139,,
,,59,1139,1.2250847816467285,12.263840675354004
1.222219467163086,0.8058823347091675,60,1158,,
,,60,1158,1.2249057292938232,11.570273399353027
1.2223570346832275,0.800000011920929,61,1177,,
,,61,1177,1.2267591953277588,11.268129348754883
1.2221300601959229,0.800000011920929,62,1196,,
,,62,1196,1.2233904600143433,12.778587341308594
1.222081184387207,0.7941176295280457,63,1215,,
,,63,1215,1.2246370315551758,12.314672470092773
1.2220834493637085,0.779411792755127,64,1234,,
,,64,1234,1.2235252857208252,12.240577697753906
1.2222617864608765,0.8088235259056091,65,1253,,
,,65,1253,1.2239638566970825,12.377408981323242
1.2221689224243164,0.8176470398902893,66,1272,,
,,66,1272,1.2231937646865845,12.323688507080078
1.2220120429992676,0.7970588207244873,67,1291,,
,,67,1291,1.2231957912445068,12.335079193115234
1.221976637840271,0.8117647171020508,68,1310,,
,,68,1310,1.2235180139541626,11.499653816223145
1.221948504447937,0.8088235259056091,69,1329,,
