val_loss,val_acc,step,epoch,train_loss,train_epoch_time
1.6964621543884277,0.402222216129303,27,0,,
,,27,0,1.768493890762329,5.22251033782959
1.5106300115585327,0.4977777898311615,55,1,,
,,55,1,1.6067180633544922,10.382390975952148
1.4279996156692505,0.6511111259460449,83,2,,
,,83,2,1.5001006126403809,10.609752655029297
1.3696260452270508,0.6577777862548828,111,3,,
,,111,3,1.4211480617523193,10.797789573669434
1.3643288612365723,0.6577777862548828,139,4,,
,,139,4,1.3977669477462769,11.066280364990234
1.3544102907180786,0.6555555462837219,167,5,,
,,167,5,1.3797401189804077,10.232928276062012
1.326233148574829,0.7133333086967468,195,6,,
,,195,6,1.358544111251831,10.16082763671875
1.2751193046569824,0.7844444513320923,223,7,,
,,223,7,1.3094840049743652,9.789566040039062
1.2357040643692017,0.8022222518920898,251,8,,
,,251,8,1.2583097219467163,9.740103721618652
1.251896858215332,0.7866666913032532,279,9,,
,,279,9,1.236585021018982,10.964569091796875
1.230883240699768,0.7955555319786072,307,10,,
,,307,10,1.2435379028320312,11.393545150756836
1.2250827550888062,0.8022222518920898,335,11,,
,,335,11,1.2249054908752441,10.47665023803711
1.2219431400299072,0.804444432258606,363,12,,
,,363,12,1.2189536094665527,11.738162994384766
1.2248125076293945,0.7955555319786072,391,13,,
,,391,13,1.2220665216445923,10.407357215881348
1.2217925786972046,0.8088889122009277,419,14,,
,,419,14,1.2174073457717896,11.179344177246094
1.2207210063934326,0.8199999928474426,447,15,,
,,447,15,1.2149003744125366,10.45475959777832
1.216448426246643,0.8066666722297668,475,16,,
,,475,16,1.2126333713531494,10.410557746887207
1.2103794813156128,0.8333333134651184,503,17,,
,,503,17,1.197750210762024,9.978890419006348
1.2516621351242065,0.7955555319786072,531,18,,
,,531,18,1.19240140914917,10.381708145141602
1.2421784400939941,0.8022222518920898,559,19,,
,,559,19,1.2420388460159302,11.026692390441895
1.2397890090942383,0.8066666722297668,587,20,,
,,587,20,1.2360246181488037,11.325927734375
1.236366868019104,0.8066666722297668,615,21,,
,,615,21,1.2331359386444092,10.793136596679688
1.225443959236145,0.8133333325386047,643,22,,
,,643,22,1.2293195724487305,10.875821113586426
1.224511742591858,0.804444432258606,671,23,,
,,671,23,1.216007113456726,10.515398979187012
1.2200113534927368,0.8377777934074402,699,24,,
,,699,24,1.211989164352417,9.257519721984863
1.2252981662750244,0.8022222518920898,727,25,,
,,727,25,1.211277723312378,9.960646629333496
1.2194725275039673,0.7955555319786072,755,26,,
,,755,26,1.2087676525115967,10.452580451965332
1.2211962938308716,0.804444432258606,783,27,,
,,783,27,1.2073420286178589,10.70628547668457
1.2277553081512451,0.800000011920929,811,28,,
,,811,28,1.2050524950027466,10.497739791870117
1.2148139476776123,0.8688889145851135,839,29,,
,,839,29,1.2016524076461792,10.862829208374023
1.4171180725097656,0.6288889050483704,867,30,,
,,867,30,1.302850604057312,10.341073989868164
1.3885917663574219,0.6422222256660461,895,31,,
,,895,31,1.4042093753814697,10.61083698272705
1.3850829601287842,0.6422222256660461,923,32,,
,,923,32,1.383649468421936,10.352120399475098
1.3845887184143066,0.6399999856948853,951,33,,
,,951,33,1.380234956741333,11.651294708251953
1.3685437440872192,0.6422222256660461,979,34,,
,,979,34,1.3744957447052002,11.816234588623047
1.1937823295593262,0.8755555748939514,1007,35,,
,,1007,35,1.2676843404769897,10.476104736328125
1.1808024644851685,0.8622221946716309,1035,36,,
,,1035,36,1.1869661808013916,10.105470657348633
1.1866453886032104,0.8644444346427917,1063,37,,
,,1063,37,1.1734143495559692,10.390954971313477
1.1944109201431274,0.8644444346427917,1091,38,,
,,1091,38,1.1671786308288574,10.918825149536133
1.1692746877670288,0.8711110949516296,1119,39,,
,,1119,39,1.1621074676513672,10.668724060058594
1.1566506624221802,0.8933333158493042,1147,40,,
,,1147,40,1.1473840475082397,10.494302749633789
1.2549831867218018,0.7911111116409302,1175,41,,
,,1175,41,1.2045930624008179,10.438009262084961
1.2444037199020386,0.800000011920929,1203,42,,
,,1203,42,1.2353761196136475,8.77750015258789
1.2140450477600098,0.8333333134651184,1231,43,,
,,1231,43,1.225147008895874,9.30774211883545
1.1813045740127563,0.8577777743339539,1259,44,,
,,1259,44,1.1745736598968506,10.772150039672852
1.2111190557479858,0.8333333134651184,1287,45,,
,,1287,45,1.1644846200942993,10.633488655090332
1.2618677616119385,0.7866666913032532,1315,46,,
,,1315,46,1.2001111507415771,12.111586570739746
1.2664611339569092,0.7777777910232544,1343,47,,
,,1343,47,1.2394667863845825,11.732536315917969
1.2620247602462769,0.7799999713897705,1371,48,,
,,1371,48,1.2289409637451172,10.450627326965332
1.2638918161392212,0.7822222113609314,1399,49,,
,,1399,49,1.2287094593048096,10.132406234741211
1.2816123962402344,0.7622222304344177,1427,50,,
,,1427,50,1.228274941444397,10.57303237915039
1.2535393238067627,0.7911111116409302,1455,51,,
,,1455,51,1.230627417564392,10.292222023010254
1.2557625770568848,0.7911111116409302,1483,52,,
,,1483,52,1.226508378982544,10.158798217773438
1.251587986946106,0.7933333516120911,1511,53,,
,,1511,53,1.2250194549560547,10.710326194763184
1.2467290163040161,0.800000011920929,1539,54,,
,,1539,54,1.223985195159912,10.224246978759766
1.2475998401641846,0.7977777719497681,1567,55,,
,,1567,55,1.2238456010818481,10.320159912109375
1.2480556964874268,0.7977777719497681,1595,56,,
,,1595,56,1.223751187324524,10.864232063293457
1.2497581243515015,0.7933333516120911,1623,57,,
,,1623,57,1.2235983610153198,10.405333518981934
1.24592924118042,0.800000011920929,1651,58,,
