epoch,step,val_acc,val_loss,train_epoch_time,train_loss
0,80,0.42626726627349854,1.6250050067901611,,
0,80,,,6.04813289642334,1.6512788534164429
1,161,0.4523809552192688,1.5617412328720093,,
1,161,,,11.725500106811523,1.4646565914154053
2,242,0.5122888088226318,1.5078834295272827,,
2,242,,,12.070987701416016,1.3349785804748535
3,323,0.46236559748649597,1.557878017425537,,
3,323,,,11.91295337677002,1.2854855060577393
4,404,0.5414746403694153,1.486773133277893,,
4,404,,,12.479799270629883,1.2688294649124146
5,485,0.5230414867401123,1.5066226720809937,,
5,485,,,12.071812629699707,1.2610567808151245
6,566,0.4600614309310913,1.4949265718460083,,
6,566,,,11.76274585723877,1.2604138851165771
7,647,0.503072202205658,1.5165666341781616,,
7,647,,,10.72346019744873,1.2559289932250977
8,728,0.5161290168762207,1.530755639076233,,
8,728,,,11.149707794189453,1.255332112312317
9,809,0.5253456234931946,1.511419415473938,,
9,809,,,15.772405624389648,1.2508982419967651
10,890,0.4055299460887909,1.631210207939148,,
10,890,,,13.861679077148438,1.2336742877960205
11,971,0.5192012190818787,1.5196375846862793,,
11,971,,,11.649822235107422,1.2636793851852417
12,1052,0.45775729417800903,1.5219711065292358,,
12,1052,,,11.896446228027344,1.262355923652649
13,1133,0.4354838728904724,1.5985074043273926,,
13,1133,,,11.889214515686035,1.2334553003311157
14,1214,0.4754224121570587,1.5631153583526611,,
14,1214,,,11.787004470825195,1.2631233930587769
15,1295,0.4132104516029358,1.5545027256011963,,
15,1295,,,11.517738342285156,1.2651634216308594
16,1376,0.4500768184661865,1.5416535139083862,,
16,1376,,,12.549656867980957,1.2317700386047363
17,1457,0.42626726627349854,1.5804252624511719,,
17,1457,,,11.543219566345215,1.2266631126403809
18,1538,0.42319509387016296,1.595489740371704,,
18,1538,,,11.82630443572998,1.2187626361846924
19,1619,0.41628265380859375,1.611936092376709,,
19,1619,,,12.235734939575195,1.2124675512313843
20,1700,0.42319509387016296,1.6164066791534424,,
20,1700,,,14.96710205078125,1.208229899406433
21,1781,0.4447004497051239,1.593447208404541,,
21,1781,,,12.938078880310059,1.2199574708938599
22,1862,0.4208909273147583,1.5673195123672485,,
22,1862,,,12.179133415222168,1.2150211334228516
23,1943,0.43394777178764343,1.6072992086410522,,
23,1943,,,12.215497970581055,1.2096914052963257
24,2024,0.47926267981529236,1.5636608600616455,,
24,2024,,,11.900794982910156,1.2374526262283325
25,2105,0.47311827540397644,1.568501591682434,,
25,2105,,,11.665996551513672,1.2718889713287354
26,2186,0.4838709533214569,1.5585882663726807,,
26,2186,,,12.315794944763184,1.272092580795288
27,2267,0.47158217430114746,1.5678590536117554,,
27,2267,,,12.164308547973633,1.280907392501831
28,2348,0.47235023975372314,1.5687469244003296,,
28,2348,,,12.906628608703613,1.2837953567504883
29,2429,0.4777265787124634,1.5622470378875732,,
29,2429,,,14.804678916931152,1.2786602973937988
30,2510,0.48771122097969055,1.5536918640136719,,
30,2510,,,15.780370712280273,1.270542860031128
31,2591,0.4923194944858551,1.5465362071990967,,
31,2591,,,15.819695472717285,1.27189040184021
32,2672,0.4861751198768616,1.5538345575332642,,
32,2672,,,14.441689491271973,1.265777587890625
33,2753,0.4823348820209503,1.5589812994003296,,
33,2753,,,15.17803955078125,1.2652660608291626
34,2834,0.4831029176712036,1.5536839962005615,,
34,2834,,,15.388988494873047,1.2645823955535889
35,2915,0.4846390187740326,1.5566866397857666,,
35,2915,,,14.958487510681152,1.265073537826538
36,2996,0.48847925662994385,1.5521926879882812,,
36,2996,,,14.95099925994873,1.2633785009384155
37,3077,0.4854070544242859,1.5553451776504517,,
37,3077,,,15.381379127502441,1.2624881267547607
38,3158,0.4546850919723511,1.578840970993042,,
38,3158,,,15.456856727600098,1.2489603757858276
39,3239,0.4308755695819855,1.6083617210388184,,
39,3239,,,15.085498809814453,1.1947226524353027
40,3320,0.41628265380859375,1.589268445968628,,
40,3320,,,16.054399490356445,1.1955288648605347
41,3401,0.44086021184921265,1.59706449508667,,
41,3401,,,15.624652862548828,1.2004259824752808
42,3482,0.49462366104125977,1.549376368522644,,
42,3482,,,14.503262519836426,1.2139183282852173
43,3563,0.498463898897171,1.5435258150100708,,
43,3563,,,14.946712493896484,1.2674643993377686
44,3644,0.4900153577327728,1.5514568090438843,,
44,3644,,,14.486005783081055,1.2668005228042603
45,3725,0.4907834231853485,1.5521303415298462,,
45,3725,,,14.94333553314209,1.2653669118881226
46,3806,0.49615976214408875,1.5457639694213867,,
46,3806,,,14.145612716674805,1.2645825147628784
47,3887,0.5092166066169739,1.5287748575210571,,
47,3887,,,15.557292938232422,1.2632006406784058
48,3968,0.49462366104125977,1.5470950603485107,,
48,3968,,,14.839690208435059,1.261149287223816
49,4049,0.498463898897171,1.543291687965393,,
49,4049,,,15.743877410888672,1.259576678276062
50,4130,0.49462366104125977,1.545546054840088,,
50,4130,,,14.960694313049316,1.2593311071395874
51,4211,0.4992319643497467,1.5428143739700317,,
51,4211,,,14.950904846191406,1.2592357397079468
52,4292,0.49692779779434204,1.5414903163909912,,
52,4292,,,14.696697235107422,1.258798599243164
53,4373,0.4992319643497467,1.5419960021972656,,
53,4373,,,14.84478759765625,1.259690523147583
54,4454,0.49615976214408875,1.5442721843719482,,
54,4454,,,15.042257308959961,1.2590397596359253
55,4535,0.44700461626052856,1.5920357704162598,,
55,4535,,,14.852205276489258,1.2597225904464722
56,4616,0.4662058353424072,1.575156331062317,,
56,4616,,,15.753267288208008,1.295027732849121
57,4697,0.47926267981529236,1.5599143505096436,,
57,4697,,,15.47048282623291,1.2722020149230957
58,4778,0.4754224121570587,1.5658414363861084,,
58,4778,,,16.002758026123047,1.266243577003479
59,4859,0.47311827540397644,1.5688494443893433,,
59,4859,,,14.529393196105957,1.2635393142700195
60,4940,0.4838709533214569,1.5559645891189575,,
60,4940,,,15.087874412536621,1.2620105743408203
61,5021,0.4769585132598877,1.5653026103973389,,
61,5021,,,16.069189071655273,1.2604435682296753
62,5102,0.47311827540397644,1.5699634552001953,,
62,5102,,,15.662357330322266,1.2612106800079346
63,5183,0.47081413865089417,1.5705002546310425,,
63,5183,,,14.405271530151367,1.260521650314331
64,5264,0.4761904776096344,1.5661147832870483,,
64,5264,,,14.493281364440918,1.2602741718292236
65,5345,0.45775729417800903,1.5820192098617554,,
65,5345,,,14.866059303283691,1.2664333581924438
66,5426,0.47081413865089417,1.5706900358200073,,
66,5426,,,14.762206077575684,1.2650104761123657
67,5507,0.4838709533214569,1.555240511894226,,
67,5507,,,14.815497398376465,1.2625433206558228
68,5588,0.4831029176712036,1.559645175933838,,
68,5588,,,14.740240097045898,1.2627919912338257
69,5669,0.48079878091812134,1.5627065896987915,,
69,5669,,,14.670099258422852,1.2614091634750366
70,5750,0.5007680654525757,1.542510986328125,,
70,5750,,,15.217146873474121,1.2602622509002686
71,5831,0.4907834231853485,1.5510503053665161,,
71,5831,,,15.870187759399414,1.2597581148147583
72,5912,0.4930875599384308,1.550642728805542,,
72,5912,,,15.22175407409668,1.2588527202606201
73,5993,0.49692779779434204,1.5450427532196045,,
73,5993,,,14.726898193359375,1.259573221206665
74,6074,0.5015360713005066,1.5396645069122314,,
74,6074,,,15.208990097045898,1.263600468635559
75,6155,0.48694315552711487,1.554431676864624,,
75,6155,,,15.6802978515625,1.2589762210845947
76,6236,0.48156681656837463,1.5584639310836792,,
76,6236,,,15.054813385009766,1.2581907510757446
77,6317,0.47081413865089417,1.5679190158843994,,
77,6317,,,15.047172546386719,1.259429931640625
78,6398,0.48156681656837463,1.5565385818481445,,
78,6398,,,14.816781997680664,1.2595195770263672
79,6479,0.4692780375480652,1.564391016960144,,
79,6479,,,14.91396427154541,1.2830244302749634
80,6560,0.4677419364452362,1.5710073709487915,,
80,6560,,,15.109125137329102,1.2653027772903442
81,6641,0.4662058353424072,1.5698890686035156,,
81,6641,,,13.620908737182617,1.2618107795715332
82,6722,0.47311827540397644,1.5654070377349854,,
82,6722,,,13.153104782104492,1.2606853246688843
83,6803,0.46466973423957825,1.5737416744232178,,
83,6803,,,13.369134902954102,1.2601627111434937
84,6884,0.4738863408565521,1.5646719932556152,,
84,6884,,,13.701969146728516,1.2595510482788086
85,6965,0.4754224121570587,1.5671195983886719,,
85,6965,,,13.518806457519531,1.2591110467910767
86,7046,0.4746543765068054,1.5647826194763184,,
86,7046,,,12.035396575927734,1.258710503578186
87,7127,0.4692780375480652,1.5681475400924683,,
87,7127,,,12.05943775177002,1.2581957578659058
88,7208,0.4700460731983185,1.5677136182785034,,
88,7208,,,11.962881088256836,1.2580623626708984
89,7289,0.4700460731983185,1.5673348903656006,,
89,7289,,,12.176742553710938,1.2578659057617188
90,7370,0.4738863408565521,1.5652697086334229,,
90,7370,,,12.230671882629395,1.257652997970581
91,7451,0.4738863408565521,1.567406415939331,,
91,7451,,,12.31050968170166,1.2575972080230713
92,7532,0.47158217430114746,1.566727638244629,,
92,7532,,,13.001181602478027,1.2572107315063477
93,7613,0.47311827540397644,1.5665092468261719,,
93,7613,,,12.589316368103027,1.2571499347686768
94,7694,0.47235023975372314,1.5668898820877075,,
94,7694,,,12.832796096801758,1.2571300268173218
95,7775,0.47235023975372314,1.5662505626678467,,
95,7775,,,12.118658065795898,1.2570573091506958
96,7856,0.47235023975372314,1.5667078495025635,,
96,7856,,,14.181333541870117,1.2570027112960815
97,7937,0.47081413865089417,1.5677281618118286,,
97,7937,,,15.430910110473633,1.2569630146026611
98,8018,0.47081413865089417,1.5668107271194458,,
98,8018,,,15.94701099395752,1.2570544481277466
99,8099,0.47081413865089417,1.568881630897522,,
99,8099,,,16.365894317626953,1.2572400569915771
