epoch,val_loss,val_acc,step,train_loss,train_epoch_time
0,1.5954214334487915,0.40783411264419556,80,,
0,,,80,1.5871093273162842,7.001452445983887
1,1.5889116525650024,0.3870967626571655,161,,
1,,,161,1.5387359857559204,12.385087013244629
2,1.5650328397750854,0.4447004497051239,242,,
2,,,242,1.4851363897323608,24.280773162841797
3,1.5136134624481201,0.4992319643497467,323,,
3,,,323,1.3996473550796509,12.377610206604004
4,1.5065157413482666,0.5023041367530823,404,,
4,,,404,1.3705723285675049,48.010128021240234
5,1.4703917503356934,0.5483871102333069,485,,
5,,,485,1.3130521774291992,13.009603500366211
6,1.4651498794555664,0.5514593124389648,566,,
6,,,566,1.2860263586044312,46.67565155029297
7,1.4332274198532104,0.5837173461914062,647,,
7,,,647,1.2737056016921997,13.072896957397461
8,1.443664789199829,0.5076804757118225,728,,
8,,,728,1.2698477506637573,47.2678108215332
9,1.4615939855575562,0.4516128897666931,809,,
9,,,809,1.2657254934310913,12.297672271728516
10,1.476024866104126,0.44086021184921265,890,,
10,,,890,1.2623273134231567,48.109657287597656
11,1.481237769126892,0.4992319643497467,971,,
11,,,971,1.2589606046676636,13.839273452758789
12,1.4820609092712402,0.5491551756858826,1052,,
12,,,1052,1.255422830581665,45.965858459472656
13,1.5174833536148071,0.42549923062324524,1133,,
13,,,1133,1.2527629137039185,12.772311210632324
14,1.467721939086914,0.5714285969734192,1214,,
14,,,1214,1.2481334209442139,47.09883117675781
15,1.5261991024017334,0.5176651477813721,1295,,
15,,,1295,1.2432684898376465,53.31502151489258
16,1.5345897674560547,0.4285714328289032,1376,,
16,,,1376,1.2363642454147339,11.904375076293945
17,1.5083528757095337,0.4854070544242859,1457,,
17,,,1457,1.2327064275741577,48.060272216796875
18,1.5051636695861816,0.4662058353424072,1538,,
18,,,1538,1.2311288118362427,12.152170181274414
19,1.540432333946228,0.4930875599384308,1619,,
19,,,1619,1.2208688259124756,47.84421157836914
20,1.5389317274093628,0.44086021184921265,1700,,
20,,,1700,1.2229416370391846,12.478830337524414
21,1.5063652992248535,0.5437787771224976,1781,,
21,,,1781,1.2188096046447754,53.150150299072266
22,1.5681793689727783,0.4677419364452362,1862,,
22,,,1862,1.2130087614059448,12.947604179382324
23,1.5182186365127563,0.5168970823287964,1943,,
23,,,1943,1.2106488943099976,47.17706298828125
24,1.5381425619125366,0.5007680654525757,2024,,
24,,,2024,1.2115159034729004,12.424163818359375
25,1.4502865076065063,0.5898617506027222,2105,,
25,,,2105,1.248113751411438,47.61589050292969
26,1.5086140632629395,0.5322580933570862,2186,,
26,,,2186,1.2720509767532349,12.706541061401367
27,1.4891318082809448,0.5529953837394714,2267,,
27,,,2267,1.2689330577850342,47.52943420410156
28,1.4962278604507446,0.5468509793281555,2348,,
28,,,2348,1.2667827606201172,12.123431205749512
29,1.4717899560928345,0.5706605315208435,2429,,
29,,,2429,1.2674081325531006,47.64152145385742
30,1.5243624448776245,0.5168970823287964,2510,,
30,,,2510,1.2667373418807983,12.222880363464355
31,1.4893304109573364,0.5491551756858826,2591,,
31,,,2591,1.2642022371292114,48.21196365356445
32,1.5257433652877808,0.5145929455757141,2672,,
32,,,2672,1.2635306119918823,12.830046653747559
33,1.5255377292633057,0.5153610110282898,2753,,
33,,,2753,1.2623809576034546,46.87680435180664
34,1.5153053998947144,0.5261136889457703,2834,,
34,,,2834,1.2634124755859375,12.68423843383789
35,1.5235391855239868,0.52073734998703,2915,,
35,,,2915,1.264285683631897,47.146907806396484
36,1.5201027393341064,0.5222734212875366,2996,,
36,,,2996,1.2622824907302856,53.55035400390625
37,1.5047699213027954,0.536098301410675,3077,,
37,,,3077,1.2616326808929443,12.315985679626465
38,1.5217162370681763,0.5215053558349609,3158,,
38,,,3158,1.2621501684188843,47.65663528442383
39,1.5182690620422363,0.5230414867401123,3239,,
39,,,3239,1.2615998983383179,12.279351234436035
40,1.5086184740066528,0.5314900279045105,3320,,
40,,,3320,1.261212944984436,47.72431945800781
41,1.5240360498428345,0.5168970823287964,3401,,
41,,,3401,1.2611820697784424,13.309419631958008
42,1.5158627033233643,0.5253456234931946,3482,,
42,,,3482,1.2618590593338013,52.53188705444336
43,1.6899526119232178,0.35253456234931946,3563,,
43,,,3563,1.2927484512329102,12.316853523254395
44,1.6740988492965698,0.36789554357528687,3644,,
44,,,3644,1.4505597352981567,47.64347839355469
45,1.6037352085113525,0.4055299460887909,3725,,
45,,,3725,1.4219317436218262,13.701685905456543
46,1.6528172492980957,0.35407066345214844,3806,,
46,,,3806,1.4102641344070435,46.21202087402344
47,1.6433227062225342,0.3947772681713104,3887,,
47,,,3887,1.406697392463684,12.019023895263672
48,1.637623906135559,0.35944700241088867,3968,,
48,,,3968,1.4052343368530273,48.524871826171875
49,1.6390101909637451,0.4032258093357086,4049,,
49,,,4049,1.4039191007614136,12.949277877807617
50,1.6525888442993164,0.3509984612464905,4130,,
50,,,4130,1.402842402458191,46.725643157958984
51,1.6345961093902588,0.40245774388313293,4211,,
51,,,4211,1.402418851852417,13.452250480651855
52,1.6462242603302002,0.35483869910240173,4292,,
52,,,4292,1.403889536857605,46.64117431640625
53,1.6469975709915161,0.35483869910240173,4373,,
53,,,4373,1.4037373065948486,12.176054954528809
54,1.634626865386963,0.3648233413696289,4454,,
54,,,4454,1.4017776250839233,47.880775451660156
55,1.642311453819275,0.3586789667606354,4535,,
55,,,4535,1.4008735418319702,12.116209983825684
56,1.6437480449676514,0.3748079836368561,4616,,
56,,,4616,1.4019103050231934,48.34260940551758
57,1.63637375831604,0.40245774388313293,4697,,
57,,,4697,1.400596261024475,52.74679183959961
58,1.6438331604003906,0.3579109013080597,4778,,
58,,,4778,1.4020527601242065,12.331498146057129
59,1.636398434638977,0.40015360713005066,4859,,
59,,,4859,1.3996853828430176,47.62091064453125
60,1.645779013633728,0.3901689648628235,4940,,
60,,,4940,1.3998461961746216,11.910510063171387
61,1.6379120349884033,0.3640553057193756,5021,,
61,,,5021,1.3990801572799683,48.071868896484375
62,1.6513335704803467,0.35330259799957275,5102,,
62,,,5102,1.399160385131836,12.332986831665039
63,1.6452511548995972,0.35483869910240173,5183,,
63,,,5183,1.3988642692565918,52.554542541503906
64,1.6485798358917236,0.35253456234931946,5264,,
64,,,5264,1.3991678953170776,13.333963394165039
