val_loss,epoch,step,val_acc,train_epoch_time,train_loss
1.7652708292007446,0,10,0.44366195797920227,,
,0,10,,2.2664949893951416,1.778480887413025
1.7380123138427734,1,21,0.3403755724430084,,
,1,21,,4.894980430603027,1.7525897026062012
1.705681562423706,2,32,0.3333333432674408,,
,2,32,,5.751559734344482,1.719078779220581
1.6763759851455688,3,43,0.3333333432674408,,
,3,43,,6.069784164428711,1.6806458234786987
1.654951810836792,4,54,0.3333333432674408,,
,4,54,,6.022834777832031,1.650203824043274
1.6426823139190674,5,65,0.3403755724430084,,
,5,65,,6.883117198944092,1.6304926872253418
1.6363674402236938,6,76,0.36150234937667847,,
,6,76,,6.435255527496338,1.6172775030136108
1.6311935186386108,7,87,0.3826290965080261,,
,7,87,,6.31359338760376,1.6061089038848877
1.6251176595687866,8,98,0.4154929518699646,,
,8,98,,6.351447582244873,1.594675898551941
1.6197936534881592,9,109,0.4178403615951538,,
,9,109,,6.5680999755859375,1.5803557634353638
1.6134076118469238,10,120,0.4248826205730438,,
,10,120,,6.696085453033447,1.564498782157898
1.6067800521850586,11,131,0.44366195797920227,,
,11,131,,6.793635368347168,1.5474560260772705
1.6016684770584106,12,142,0.44131454825401306,,
,12,142,,6.2653303146362305,1.530530571937561
1.595237374305725,13,153,0.44600939750671387,,
,13,153,,6.120476722717285,1.5162709951400757
1.5953587293624878,14,164,0.43192487955093384,,
,14,164,,6.4729719161987305,1.503536343574524
1.586418867111206,15,175,0.4483568072319031,,
,15,175,,6.444798469543457,1.4925423860549927
1.5858429670333862,16,186,0.43896713852882385,,
,16,186,,6.977911472320557,1.4852014780044556
1.5823761224746704,17,197,0.43896713852882385,,
,17,197,,6.399184226989746,1.476904273033142
1.5780837535858154,18,208,0.4483568072319031,,
,18,208,,6.47794246673584,1.4723690748214722
1.5801504850387573,19,219,0.43896713852882385,,
,19,219,,6.455506324768066,1.46742582321167
1.5745421648025513,20,230,0.4483568072319031,,
,20,230,,6.202495098114014,1.4638460874557495
1.5754189491271973,21,241,0.44131454825401306,,
,21,241,,6.718494415283203,1.459373116493225
1.5715726613998413,22,252,0.4530516564846039,,
,22,252,,6.527207851409912,1.4555573463439941
1.5749757289886475,23,263,0.4507042169570923,,
,23,263,,6.573784351348877,1.4537521600723267
1.5681589841842651,24,274,0.4507042169570923,,
,24,274,,6.411797523498535,1.451002836227417
1.5703973770141602,25,285,0.4483568072319031,,
,25,285,,6.442168235778809,1.448024868965149
1.568471074104309,26,296,0.4507042169570923,,
,26,296,,6.721744537353516,1.4468516111373901
1.5685325860977173,27,307,0.4483568072319031,,
,27,307,,7.195901870727539,1.4449876546859741
1.5657206773757935,28,318,0.43427228927612305,,
,28,318,,6.342313766479492,1.4427216053009033
1.5664926767349243,29,329,0.4507042169570923,,
,29,329,,6.537657737731934,1.443640947341919
1.5659557580947876,30,340,0.4507042169570923,,
,30,340,,6.7219929695129395,1.4411988258361816
1.5660618543624878,31,351,0.44366195797920227,,
,31,351,,6.79420280456543,1.439292311668396
1.5648798942565918,32,362,0.4624413251876831,,
,32,362,,6.442735195159912,1.4382688999176025
1.5645227432250977,33,373,0.4507042169570923,,
,33,373,,6.72413444519043,1.437094807624817
1.564079999923706,34,384,0.43661972880363464,,
,34,384,,6.819912910461426,1.435971975326538
1.5657825469970703,35,395,0.4600938856601715,,
,35,395,,6.752322196960449,1.434348464012146
1.5630639791488647,36,406,0.42957746982574463,,
,36,406,,6.856295108795166,1.4335323572158813
1.563557505607605,37,417,0.43896713852882385,,
,37,417,,6.140814304351807,1.4324854612350464
1.5630817413330078,38,428,0.44600939750671387,,
,38,428,,6.423389434814453,1.4321390390396118
1.5623588562011719,39,439,0.44366195797920227,,
,39,439,,6.6894941329956055,1.4317231178283691
1.5628477334976196,40,450,0.44131454825401306,,
,40,450,,6.564244270324707,1.4300450086593628
1.5631154775619507,41,461,0.4507042169570923,,
,41,461,,6.936580181121826,1.4291858673095703
1.561667561531067,42,472,0.44131454825401306,,
,42,472,,6.692317962646484,1.4290481805801392
1.5621927976608276,43,483,0.44366195797920227,,
,43,483,,7.014369964599609,1.4281690120697021
1.5617748498916626,44,494,0.4507042169570923,,
,44,494,,6.537301540374756,1.4290140867233276
1.564042329788208,45,505,0.43896713852882385,,
,45,505,,6.994826316833496,1.4282193183898926
1.5598419904708862,46,516,0.44366195797920227,,
,46,516,,6.331811904907227,1.4283843040466309
1.5634645223617554,47,527,0.4600938856601715,,
,47,527,,6.4268646240234375,1.4281926155090332
1.5589479207992554,48,538,0.44366195797920227,,
,48,538,,6.8497314453125,1.4255675077438354
1.5615878105163574,49,549,0.43192487955093384,,
,49,549,,6.213266372680664,1.4253530502319336
1.561187744140625,50,560,0.4553990662097931,,
,50,560,,7.008881568908691,1.4240741729736328
1.5598092079162598,51,571,0.44366195797920227,,
,51,571,,6.850066184997559,1.4245688915252686
1.5598067045211792,52,582,0.4483568072319031,,
,52,582,,6.656215190887451,1.4240360260009766
1.5615674257278442,53,593,0.4553990662097931,,
,53,593,,6.544869422912598,1.4245622158050537
1.559661865234375,54,604,0.4272300601005554,,
,54,604,,6.547624588012695,1.4228847026824951
1.5588476657867432,55,615,0.4483568072319031,,
,55,615,,7.072835922241211,1.4225939512252808
1.5615142583847046,56,626,0.44600939750671387,,
,56,626,,6.436308860778809,1.4223310947418213
1.5578845739364624,57,637,0.44600939750671387,,
,57,637,,6.562514305114746,1.4248346090316772
1.5616573095321655,58,648,0.44366195797920227,,
,58,648,,6.5800065994262695,1.4250575304031372
