epoch,step,val_acc,val_loss,train_loss,train_epoch_time
68,758,0.47652581334114075,1.549621820449829,,
68,758,,,1.1988669633865356,11.036290168762207
69,769,0.47652581334114075,1.5501588582992554,,
69,769,,,1.1980332136154175,10.684972763061523
70,780,0.47652581334114075,1.5506012439727783,,
70,780,,,1.1976929903030396,11.269747734069824
71,791,0.47183099389076233,1.5527966022491455,,
71,791,,,1.1975904703140259,11.334402084350586
72,802,0.47183099389076233,1.5538169145584106,,
72,802,,,1.1974972486495972,10.933915138244629
73,813,0.47417840361595154,1.5509531497955322,,
73,813,,,1.1974900960922241,11.344766616821289
74,824,0.47417840361595154,1.5518414974212646,,
74,824,,,1.1974819898605347,10.728822708129883
75,835,0.47417840361595154,1.5515308380126953,,
75,835,,,1.1976732015609741,10.515832901000977
76,846,0.47652581334114075,1.5503596067428589,,
76,846,,,1.1972895860671997,10.540047645568848
77,857,0.46948355436325073,1.5516436100006104,,
77,857,,,1.197366714477539,8.775193214416504
78,868,0.47887325286865234,1.5444250106811523,,
78,868,,,1.197340726852417,11.479418754577637
79,879,0.4671361446380615,1.5619032382965088,,
79,879,,,1.198229193687439,11.40311050415039
80,890,0.47417840361595154,1.5525263547897339,,
80,890,,,1.1989760398864746,11.011335372924805
81,901,0.47652581334114075,1.5521013736724854,,
81,901,,,1.2000702619552612,10.963910102844238
82,912,0.4647887349128723,1.5613635778427124,,
82,912,,,1.1976394653320312,10.942229270935059
83,923,0.48591548204421997,1.5435062646865845,,
83,923,,,1.1985828876495361,11.363792419433594
84,934,0.4530516564846039,1.5678350925445557,,
84,934,,,1.1986563205718994,11.18699836730957
85,945,0.4647887349128723,1.5616843700408936,,
85,945,,,1.198991060256958,10.80473518371582
86,956,0.46948355436325073,1.5555170774459839,,
86,956,,,1.1974190473556519,10.639117240905762
87,967,0.46948355436325073,1.558157205581665,,
87,967,,,1.1968605518341064,10.606622695922852
88,978,0.46948355436325073,1.5563960075378418,,
88,978,,,1.1968486309051514,10.881132125854492
89,989,0.4671361446380615,1.55935537815094,,
89,989,,,1.1964318752288818,10.774506568908691
90,1000,0.47183099389076233,1.5569477081298828,,
90,1000,,,1.1964534521102905,10.564684867858887
91,1011,0.47417840361595154,1.5523825883865356,,
91,1011,,,1.1964725255966187,10.918472290039062
92,1022,0.47417840361595154,1.5500282049179077,,
92,1022,,,1.1961109638214111,11.00440788269043
93,1033,0.47887325286865234,1.548275113105774,,
93,1033,,,1.1959112882614136,9.438837051391602
94,1044,0.47652581334114075,1.5490188598632812,,
94,1044,,,1.1960028409957886,11.280754089355469
95,1055,0.47652581334114075,1.5501211881637573,,
95,1055,,,1.1961687803268433,11.371498107910156
96,1066,0.47652581334114075,1.5514744520187378,,
96,1066,,,1.1958168745040894,10.919116020202637
97,1077,0.47417840361595154,1.5523020029067993,,
97,1077,,,1.1957190036773682,10.735474586486816
98,1088,0.47652581334114075,1.5511354207992554,,
98,1088,,,1.195702314376831,11.510908126831055
99,1099,0.47417840361595154,1.5512086153030396,,
99,1099,,,1.1957594156265259,10.975394248962402
