epoch,step,val_acc,val_loss,train_loss,train_epoch_time
0,10,0.31924882531166077,1.7522181272506714,,
0,10,,,1.7620117664337158,5.345224380493164
1,21,0.2863849699497223,1.7423856258392334,,
1,21,,,1.6906918287277222,9.685194969177246
2,32,0.30751174688339233,1.7161693572998047,,
2,32,,,1.6207982301712036,11.607986450195312
3,43,0.31924882531166077,1.6975393295288086,,
3,43,,,1.5670093297958374,11.500540733337402
4,54,0.2957746386528015,1.7008378505706787,,
4,54,,,1.5401626825332642,10.700811386108398
5,65,0.2934272289276123,1.6997133493423462,,
5,65,,,1.5304536819458008,10.851228713989258
6,76,0.2910798192024231,1.684731364250183,,
6,76,,,1.5251357555389404,13.088799476623535
7,87,0.28169015049934387,1.6887588500976562,,
7,87,,,1.5243717432022095,10.6094970703125
8,98,0.2934272289276123,1.6800076961517334,,
8,98,,,1.5200083255767822,10.67143440246582
9,109,0.30516430735588074,1.6659680604934692,,
9,109,,,1.5007206201553345,10.360974311828613
10,120,0.31220656633377075,1.662317156791687,,
10,120,,,1.4880677461624146,10.399396896362305
11,131,0.35446009039878845,1.63526451587677,,
11,131,,,1.4670649766921997,11.658069610595703
12,142,0.34741783142089844,1.642622947692871,,
12,142,,,1.4466643333435059,10.438791275024414
13,153,0.38967135548591614,1.6265606880187988,,
13,153,,,1.422283411026001,10.563241958618164
14,164,0.3826290965080261,1.6245969533920288,,
14,164,,,1.4136120080947876,10.279370307922363
15,175,0.3661971688270569,1.6371445655822754,,
15,175,,,1.3899050951004028,11.307316780090332
16,186,0.3685446083545685,1.6453379392623901,,
16,186,,,1.3837510347366333,10.753534317016602
17,197,0.36150234937667847,1.6468415260314941,,
17,197,,,1.3775190114974976,11.337340354919434
18,208,0.3661971688270569,1.6413394212722778,,
18,208,,,1.3751665353775024,11.377217292785645
19,219,0.3708920180797577,1.6368130445480347,,
19,219,,,1.3684308528900146,10.533697128295898
20,230,0.3755868673324585,1.608435869216919,,
20,230,,,1.3513821363449097,11.148128509521484
21,241,0.36150234937667847,1.6268812417984009,,
21,241,,,1.341744303703308,11.117185592651367
22,252,0.35446009039878845,1.6347501277923584,,
22,252,,,1.3290609121322632,10.97026252746582
23,263,0.3708920180797577,1.6269112825393677,,
23,263,,,1.3189066648483276,10.743711471557617
24,274,0.3755868673324585,1.6278281211853027,,
24,274,,,1.3117594718933105,10.808675765991211
25,285,0.3826290965080261,1.6197415590286255,,
25,285,,,1.2987350225448608,11.152856826782227
26,296,0.40140846371650696,1.6125128269195557,,
26,296,,,1.2856048345565796,11.022825241088867
27,307,0.4154929518699646,1.5927165746688843,,
27,307,,,1.2685165405273438,11.052955627441406
28,318,0.4483568072319031,1.5927585363388062,,
28,318,,,1.2527434825897217,10.95895767211914
29,329,0.42957746982574463,1.5980998277664185,,
29,329,,,1.2392243146896362,11.168546676635742
30,340,0.43192487955093384,1.5920699834823608,,
30,340,,,1.2318377494812012,11.725480079650879
31,351,0.43661972880363464,1.5860062837600708,,
31,351,,,1.227178931236267,12.207514762878418
32,362,0.44600939750671387,1.5735361576080322,,
32,362,,,1.2201471328735352,11.151581764221191
33,373,0.4530516564846039,1.572891116142273,,
33,373,,,1.2209733724594116,12.572909355163574
34,384,0.4530516564846039,1.5710102319717407,,
34,384,,,1.217640995979309,10.71681022644043
35,395,0.4553990662097931,1.566548228263855,,
35,395,,,1.2183529138565063,10.61068344116211
36,406,0.4483568072319031,1.5715006589889526,,
36,406,,,1.2138515710830688,11.229020118713379
37,417,0.4553990662097931,1.5677490234375,,
37,417,,,1.2150068283081055,11.608864784240723
38,428,0.44600939750671387,1.577652096748352,,
38,428,,,1.2123301029205322,10.369253158569336
39,439,0.44600939750671387,1.5812863111495972,,
39,439,,,1.2128336429595947,10.919914245605469
40,450,0.4507042169570923,1.5695693492889404,,
40,450,,,1.2163245677947998,10.51324462890625
41,461,0.44366195797920227,1.5822299718856812,,
41,461,,,1.2209258079528809,10.661102294921875
42,472,0.44600939750671387,1.5710803270339966,,
42,472,,,1.212302565574646,10.928119659423828
43,483,0.42957746982574463,1.5985970497131348,,
43,483,,,1.2129040956497192,10.902031898498535
44,494,0.4530516564846039,1.5687363147735596,,
44,494,,,1.2097519636154175,11.408242225646973
45,505,0.4577464759349823,1.5626564025878906,,
45,505,,,1.2081704139709473,11.565991401672363
46,516,0.44131454825401306,1.580056071281433,,
46,516,,,1.2087723016738892,11.5388765335083
47,527,0.44600939750671387,1.5782541036605835,,
47,527,,,1.2058568000793457,10.588297843933105
48,538,0.4624413251876831,1.561699390411377,,
48,538,,,1.2050973176956177,11.804978370666504
49,549,0.4507042169570923,1.5693947076797485,,
49,549,,,1.2073049545288086,11.18016529083252
50,560,0.4577464759349823,1.567949891090393,,
50,560,,,1.203521728515625,11.755175590515137
51,571,0.4600938856601715,1.5616438388824463,,
51,571,,,1.205080509185791,10.935546875
52,582,0.4530516564846039,1.5694814920425415,,
52,582,,,1.2016388177871704,11.127781867980957
53,593,0.4553990662097931,1.5684155225753784,,
53,593,,,1.2002875804901123,10.820208549499512
54,604,0.44131454825401306,1.580469012260437,,
54,604,,,1.2059516906738281,10.785091400146484
55,615,0.4600938856601715,1.56361985206604,,
55,615,,,1.2068254947662354,10.98361587524414
56,626,0.4624413251876831,1.5613319873809814,,
56,626,,,1.2046077251434326,10.986573219299316
57,637,0.47887325286865234,1.5444222688674927,,
57,637,,,1.2026894092559814,10.829505920410156
58,648,0.4906103312969208,1.5393483638763428,,
58,648,,,1.2033159732818604,10.920520782470703
