val_loss,step,epoch,train_epoch_time,train_loss
0.6923576593399048,6,0,,
,6,0,5.50006103515625,0.7002819180488586
0.6926983594894409,13,1,,
,13,1,8.467682838439941,0.695426344871521
0.6914672255516052,20,2,,
,20,2,7.820980548858643,0.6926660537719727
0.6930654048919678,27,3,,
,27,3,8.085091590881348,0.6934601664543152
0.6909056901931763,34,4,,
,34,4,8.275988578796387,0.6941492557525635
0.692348062992096,41,5,,
,41,5,7.666178226470947,0.693289041519165
0.6913363933563232,48,6,,
,48,6,9.160587310791016,0.693379819393158
0.6902177333831787,55,7,,
,55,7,8.738201141357422,0.6904216408729553
0.6897100210189819,62,8,,
,62,8,8.731112480163574,0.6920282244682312
0.688607931137085,69,9,,
,69,9,8.785664558410645,0.690981388092041
0.6901456117630005,76,10,,
,76,10,8.939475059509277,0.690629243850708
0.6882011890411377,83,11,,
,83,11,8.800086975097656,0.6892754435539246
0.6904780864715576,90,12,,
,90,12,9.600479125976562,0.6899793148040771
0.6842546463012695,97,13,,
,97,13,9.360106468200684,0.693270206451416
0.6929500699043274,104,14,,
,104,14,9.654085159301758,0.6868286728858948
0.6886365413665771,111,15,,
,111,15,9.4162015914917,0.6906479597091675
0.6871482133865356,118,16,,
,118,16,9.399983406066895,0.689183235168457
0.6946746706962585,125,17,,
,125,17,9.533344268798828,0.6879792809486389
0.6790801286697388,132,18,,
,132,18,9.500922203063965,0.6854680180549622
0.6825853586196899,139,19,,
,139,19,9.437482833862305,0.688752293586731
0.6822998523712158,146,20,,
,146,20,8.590469360351562,0.6827304363250732
0.6768103241920471,153,21,,
,153,21,7.674532413482666,0.6828675270080566
0.6714171171188354,160,22,,
,160,22,8.275731086730957,0.6788702011108398
0.6254306435585022,167,23,,
,167,23,9.403462409973145,0.6617032289505005
0.6341426372528076,174,24,,
,174,24,8.177225112915039,0.6154994368553162
0.5659104585647583,181,25,,
,181,25,9.878715515136719,0.6000945568084717
0.5268265604972839,188,26,,
,188,26,9.09605598449707,0.5937149524688721
0.5645074248313904,195,27,,
,195,27,9.39614200592041,0.5744491219520569
0.5423780083656311,202,28,,
,202,28,9.218310356140137,0.5657513737678528
0.5639006495475769,209,29,,
,209,29,9.167760848999023,0.5939162373542786
0.5613800883293152,216,30,,
,216,30,8.81030559539795,0.5558956265449524
0.5641888380050659,223,31,,
,223,31,8.803709030151367,0.5635442733764648
0.5216032266616821,230,32,,
,230,32,8.822396278381348,0.5800435543060303
0.5745364427566528,237,33,,
,237,33,8.833303451538086,0.5860307216644287
0.5535160303115845,244,34,,
,244,34,8.648865699768066,0.5689375996589661
0.5175490975379944,251,35,,
,251,35,8.853839874267578,0.5642237663269043
0.5564260482788086,258,36,,
,258,36,8.894283294677734,0.5590500235557556
0.5215036869049072,265,37,,
,265,37,8.995121002197266,0.5688186883926392
0.5981572270393372,272,38,,
,272,38,9.197537422180176,0.5531684756278992
0.5429547429084778,279,39,,
,279,39,8.726070404052734,0.5573850274085999
0.5562800168991089,286,40,,
,286,40,7.980501174926758,0.5816578269004822
0.5471552610397339,293,41,,
,293,41,55.0582275390625,0.550146758556366
