val_acc,step,epoch,val_loss,train_loss,train_epoch_time
0.4911110997200012,27,0,1.6168626546859741,,
,27,0,,1.7162827253341675,5.1125030517578125
0.4911110997200012,55,1,1.5162322521209717,,
,55,1,,1.5638303756713867,10.495759010314941
0.5844444632530212,83,2,1.4905492067337036,,
,83,2,,1.5108115673065186,10.11708927154541
0.5644444227218628,111,3,1.4749146699905396,,
,111,3,,1.4947439432144165,10.886443138122559
0.6177777647972107,139,4,1.4561262130737305,,
,139,4,,1.4804505109786987,11.076586723327637
0.6711111068725586,167,5,1.4001927375793457,,
,167,5,,1.4482510089874268,11.696867942810059
0.5600000023841858,195,6,1.4365127086639404,,
,195,6,,1.4095886945724487,11.153264999389648
0.7511110901832581,223,7,1.3067007064819336,,
,223,7,,1.3814297914505005,11.49483585357666
0.6866666674613953,251,8,1.3497282266616821,,
,251,8,,1.3956304788589478,13.026363372802734
0.7044444680213928,279,9,1.327502965927124,,
,279,9,,1.4089176654815674,13.595907211303711
0.5933333039283752,307,10,1.423620343208313,,
,307,10,,1.3830868005752563,13.760649681091309
0.602222204208374,335,11,1.431342601776123,,
,335,11,,1.4272558689117432,14.20413589477539
0.6088888645172119,363,12,1.4218841791152954,,
,363,12,,1.4150800704956055,13.853549003601074
0.6200000047683716,391,13,1.406301498413086,,
,391,13,,1.4009863138198853,15.238533020019531
0.7355555295944214,419,14,1.2964686155319214,,
,419,14,,1.343957543373108,13.656888961791992
0.7822222113609314,447,15,1.2786717414855957,,
,447,15,,1.3060098886489868,14.087124824523926
0.7644444704055786,475,16,1.261279821395874,,
,475,16,,1.2664071321487427,13.10228157043457
0.7755555510520935,503,17,1.2575292587280273,,
,503,17,,1.2631677389144897,13.500526428222656
0.757777750492096,531,18,1.2924702167510986,,
,531,18,,1.259369134902954,13.628572463989258
0.7333333492279053,559,19,1.2927932739257812,,
,559,19,,1.2926013469696045,13.41234016418457
0.7444444298744202,587,20,1.2843016386032104,,
,587,20,,1.296401858329773,13.69000244140625
0.746666669845581,615,21,1.280927062034607,,
,615,21,,1.2848424911499023,12.802066802978516
0.7488889098167419,643,22,1.2800108194351196,,
,643,22,,1.2815861701965332,14.503143310546875
0.7933333516120911,671,23,1.2412992715835571,,
,671,23,,1.273213267326355,13.615772247314453
0.7555555701255798,699,24,1.2392932176589966,,
,699,24,,1.246903657913208,13.51633071899414
0.7933333516120911,727,25,1.2362067699432373,,
,727,25,,1.2446233034133911,14.327123641967773
0.7888888716697693,755,26,1.237168788909912,,
,755,26,,1.239309549331665,13.856721878051758
0.7933333516120911,783,27,1.2356226444244385,,
,783,27,,1.2373350858688354,13.257970809936523
0.7866666913032532,811,28,1.236572265625,,
,811,28,,1.236707329750061,13.63310432434082
0.7777777910232544,839,29,1.241092562675476,,
,839,29,,1.235519528388977,13.521480560302734
0.7933333516120911,867,30,1.2376259565353394,,
,867,30,,1.2362961769104004,14.828226089477539
0.804444432258606,895,31,1.23615562915802,,
,895,31,,1.234057068824768,13.202409744262695
0.7866666913032532,923,32,1.2367265224456787,,
,923,32,,1.234390377998352,14.177277565002441
0.7866666913032532,951,33,1.2365813255310059,,
,951,33,,1.235446572303772,14.240391731262207
0.7866666913032532,979,34,1.2375658750534058,,
,979,34,,1.2370010614395142,14.308880805969238
0.7888888716697693,1007,35,1.2374500036239624,,
,1007,35,,1.2344180345535278,13.877894401550293
0.7844444513320923,1035,36,1.2383031845092773,,
,1035,36,,1.2336972951889038,13.477266311645508
0.7844444513320923,1063,37,1.2397512197494507,,
,1063,37,,1.2323554754257202,13.633614540100098
0.7777777910232544,1091,38,1.2389781475067139,,
,1091,38,,1.2317020893096924,14.792608261108398
0.7911111116409302,1119,39,1.2387478351593018,,
,1119,39,,1.2337489128112793,13.007277488708496
0.7799999713897705,1147,40,1.2402514219284058,,
,1147,40,,1.2304654121398926,13.940252304077148
0.8111110925674438,1175,41,1.2400933504104614,,
,1175,41,,1.2309880256652832,13.895320892333984
0.7888888716697693,1203,42,1.2387676239013672,,
,1203,42,,1.2361810207366943,13.554981231689453
0.8199999928474426,1231,43,1.2376879453659058,,
,1231,43,,1.2303651571273804,14.161713600158691
0.8311111330986023,1259,44,1.2380307912826538,,
,1259,44,,1.2292695045471191,13.243669509887695
0.7844444513320923,1287,45,1.2389415502548218,,
,1287,45,,1.2312735319137573,13.788385391235352
0.7888888716697693,1315,46,1.238260269165039,,
,1315,46,,1.2299116849899292,14.143059730529785
0.7777777910232544,1343,47,1.2380166053771973,,
,1343,47,,1.2299740314483643,12.954062461853027
0.7666666507720947,1371,48,1.2373833656311035,,
,1371,48,,1.2275054454803467,13.712272644042969
0.7888888716697693,1399,49,1.237169623374939,,
,1399,49,,1.2275135517120361,14.110820770263672
0.7822222113609314,1427,50,1.2385592460632324,,
,1427,50,,1.2271004915237427,14.002713203430176
0.7822222113609314,1455,51,1.2378063201904297,,
,1455,51,,1.2256120443344116,13.512245178222656
0.757777750492096,1483,52,1.2398313283920288,,
,1483,52,,1.2263303995132446,13.547159194946289
0.7666666507720947,1511,53,1.2383990287780762,,
,1511,53,,1.2262890338897705,14.374811172485352
0.7822222113609314,1539,54,1.238066554069519,,
,1539,54,,1.2247134447097778,14.38771915435791
0.7888888716697693,1567,55,1.2387244701385498,,
,1567,55,,1.224236249923706,14.46261215209961
0.7844444513320923,1595,56,1.2390743494033813,,
,1595,56,,1.225663423538208,13.952372550964355
0.7844444513320923,1623,57,1.2387173175811768,,
,1623,57,,1.226496696472168,14.24472427368164
0.7844444513320923,1651,58,1.238158106803894,,
