step,epoch,val_acc,val_loss,train_loss,train_epoch_time
80,0,0.4870550036430359,1.5656013488769531,,
80,0,,,1.5961074829101562,6.180669784545898
161,1,0.5690399408340454,1.435302495956421,,
161,1,,,1.4777169227600098,11.939506530761719
242,2,0.6283710598945618,1.40799081325531,,
242,2,,,1.4103062152862549,12.131488800048828
323,3,0.6084142327308655,1.4092354774475098,,
323,3,,,1.3690099716186523,11.879922866821289
404,4,0.653182327747345,1.3710829019546509,,
404,4,,,1.3220139741897583,13.679838180541992
485,5,0.6353829503059387,1.3867796659469604,,
485,5,,,1.3079917430877686,11.74958610534668
566,6,0.6181229948997498,1.382991075515747,,
566,6,,,1.3048299551010132,11.650369644165039
647,7,0.6343042254447937,1.3895959854125977,,
647,7,,,1.300532579421997,12.057738304138184
728,8,0.6429342031478882,1.3798819780349731,,
728,8,,,1.304889440536499,11.254352569580078
809,9,0.6488673090934753,1.3727291822433472,,
809,9,,,1.2936440706253052,12.1278076171875
890,10,0.6305285692214966,1.3959084749221802,,
890,10,,,1.301240086555481,9.888587951660156
971,11,0.6569579243659973,1.372725248336792,,
971,11,,,1.2984691858291626,8.932655334472656
1052,12,0.7135922312736511,1.3601737022399902,,
1052,12,,,1.2959930896759033,12.686490058898926
1133,13,0.491909384727478,1.5216965675354004,,
1133,13,,,1.4281991720199585,13.14354133605957
1214,14,0.5,1.529350996017456,,
1214,14,,,1.4487249851226807,12.483331680297852
1295,15,0.47411003708839417,1.5401334762573242,,
1295,15,,,1.4486379623413086,12.580886840820312
1376,16,0.5053937435150146,1.5142041444778442,,
1376,16,,,1.4470195770263672,12.091039657592773
1457,17,0.4778856635093689,1.53156578540802,,
1457,17,,,1.445703387260437,12.014046669006348
1538,18,0.49244874715805054,1.5371079444885254,,
1538,18,,,1.44505774974823,12.285049438476562
1619,19,0.47303128242492676,1.5397460460662842,,
1619,19,,,1.4441264867782593,11.813224792480469
1700,20,0.49298813939094543,1.5221184492111206,,
1700,20,,,1.4443293809890747,12.961727142333984
1781,21,0.477346271276474,1.5328034162521362,,
1781,21,,,1.443729281425476,12.13203239440918
1862,22,0.4892125129699707,1.5321437120437622,,
1862,22,,,1.440614938735962,13.837491989135742
1943,23,0.4865156412124634,1.5255085229873657,,
1943,23,,,1.4367860555648804,13.580419540405273
2024,24,0.6601941585540771,1.3641629219055176,,
2024,24,,,1.3606455326080322,12.776535987854004
2105,25,0.6165048480033875,1.4038689136505127,,
2105,25,,,1.2861920595169067,12.674057006835938
2186,26,0.6175836324691772,1.4046177864074707,,
2186,26,,,1.2827228307724,12.77353286743164
2267,27,0.6310679316520691,1.390671968460083,,
2267,27,,,1.2828389406204224,13.9082612991333
2348,28,0.6564185619354248,1.365742564201355,,
2348,28,,,1.2791379690170288,15.64755630493164
2429,29,0.6175836324691772,1.3989514112472534,,
2429,29,,,1.2786955833435059,14.31516170501709
2510,30,0.6456310749053955,1.3780035972595215,,
2510,30,,,1.275405764579773,14.769367218017578
2591,31,0.7243797183036804,1.3391238451004028,,
2591,31,,,1.2694284915924072,13.58544921875
2672,32,0.6812297701835632,1.3569326400756836,,
2672,32,,,1.2589166164398193,13.695647239685059
2753,33,0.6650485396385193,1.364506483078003,,
2753,33,,,1.2635464668273926,13.488462448120117
2834,34,0.6903991103172302,1.3579946756362915,,
2834,34,,,1.2673100233078003,13.63023853302002
2915,35,0.7524271607398987,1.3060064315795898,,
2915,35,,,1.2551239728927612,14.0487699508667
2996,36,0.6725997924804688,1.3629865646362305,,
2996,36,,,1.250257968902588,14.604083061218262
3077,37,0.6839266419410706,1.3789674043655396,,
3077,37,,,1.2596113681793213,13.374800682067871
3158,38,0.6839266419410706,1.3735004663467407,,
3158,38,,,1.2638204097747803,14.029522895812988
3239,39,0.6229773759841919,1.4119889736175537,,
3239,39,,,1.2479088306427002,15.301765441894531
3320,40,0.6957928538322449,1.3408286571502686,,
3320,40,,,1.2438386678695679,14.458821296691895
3401,41,0.6337648034095764,1.4095968008041382,,
3401,41,,,1.2412739992141724,14.038106918334961
3482,42,0.6343042254447937,1.4078201055526733,,
3482,42,,,1.2944227457046509,13.892115592956543
3563,43,0.6413160562515259,1.4009344577789307,,
3563,43,,,1.2959078550338745,13.843409538269043
3644,44,0.6332254409790039,1.4092676639556885,,
3644,44,,,1.2936503887176514,13.96390151977539
3725,45,0.6084142327308655,1.4330298900604248,,
3725,45,,,1.3049068450927734,14.543451309204102
3806,46,0.6240561008453369,1.4180357456207275,,
3806,46,,,1.295833706855774,14.447312355041504
3887,47,0.638079822063446,1.4042261838912964,,
3887,47,,,1.2959458827972412,14.670459747314453
3968,48,0.6213592290878296,1.4217771291732788,,
3968,48,,,1.2950167655944824,15.061567306518555
4049,49,0.7389428019523621,1.341397762298584,,
4049,49,,,1.2745935916900635,14.69240951538086
4130,50,0.7454153299331665,1.299256443977356,,
4130,50,,,1.2349300384521484,14.221857070922852
4211,51,0.6639698147773743,1.3757691383361816,,
4211,51,,,1.2286757230758667,14.134389877319336
4292,52,0.7583603262901306,1.2862029075622559,,
4292,52,,,1.241862177848816,11.169852256774902
4373,53,0.647249162197113,1.3914575576782227,,
4373,53,,,1.2314730882644653,14.51339054107666
4454,54,0.6391585469245911,1.3987269401550293,,
4454,54,,,1.2383414506912231,14.156719207763672
4535,55,0.7454153299331665,1.3000409603118896,,
4535,55,,,1.2380989789962769,14.34343147277832
4616,56,0.6936354041099548,1.33976411819458,,
4616,56,,,1.221873164176941,15.21070384979248
4697,57,0.716828465461731,1.3271721601486206,,
