val_acc,step,epoch,val_loss,train_epoch_time,train_loss
0.3333333432674408,27,0,1.678950548171997,,
,27,0,,2.9454894065856934,1.7496808767318726
0.5022222399711609,55,1,1.578088402748108,,
,55,1,,6.234042644500732,1.6385111808776855
0.5755555629730225,83,2,1.513622760772705,,
,83,2,,5.673077583312988,1.5618876218795776
0.5844444632530212,111,3,1.4567947387695312,,
,111,3,,6.210245132446289,1.509863018989563
0.6844444274902344,139,4,1.4018514156341553,,
,139,4,,7.976083755493164,1.4668513536453247
0.6866666674613953,167,5,1.3744710683822632,,
,167,5,,7.213854789733887,1.4311048984527588
0.7177777886390686,195,6,1.3414925336837769,,
,195,6,,7.117706298828125,1.4099104404449463
0.7311111092567444,223,7,1.3248867988586426,,
,223,7,,6.885229110717773,1.3980262279510498
0.7266666889190674,251,8,1.3142353296279907,,
,251,8,,7.132756233215332,1.3914716243743896
0.7355555295944214,279,9,1.3023980855941772,,
,279,9,,7.144758224487305,1.3837745189666748
0.7333333492279053,307,10,1.2994838953018188,,
,307,10,,7.18283748626709,1.3798667192459106
0.742222249507904,335,11,1.288814663887024,,
,335,11,,7.090218544006348,1.3779540061950684
0.742222249507904,363,12,1.2896982431411743,,
,363,12,,7.205334663391113,1.3759925365447998
0.7266666889190674,391,13,1.3006302118301392,,
,391,13,,6.761824131011963,1.3731485605239868
0.7400000095367432,419,14,1.2905148267745972,,
,419,14,,6.929996490478516,1.3722198009490967
0.742222249507904,447,15,1.2854642868041992,,
,447,15,,7.105900764465332,1.369490146636963
0.7400000095367432,475,16,1.2896491289138794,,
,475,16,,7.09792947769165,1.3696539402008057
0.7311111092567444,503,17,1.2942019701004028,,
,503,17,,7.26118278503418,1.3677830696105957
0.7377777695655823,531,18,1.285964846611023,,
,531,18,,7.841623306274414,1.3692212104797363
0.7355555295944214,559,19,1.2880197763442993,,
,559,19,,7.353241920471191,1.3662763833999634
0.7288888692855835,587,20,1.2922484874725342,,
,587,20,,6.350686073303223,1.3655428886413574
0.7311111092567444,615,21,1.2908227443695068,,
,615,21,,6.4375834465026855,1.3650232553482056
0.7333333492279053,643,22,1.2897305488586426,,
,643,22,,6.949019432067871,1.3671025037765503
0.7266666889190674,671,23,1.2990535497665405,,
,671,23,,7.350852012634277,1.369179129600525
0.7333333492279053,699,24,1.2863940000534058,,
,699,24,,7.008142471313477,1.3657780885696411
0.7400000095367432,727,25,1.28450345993042,,
,727,25,,7.734564304351807,1.3652279376983643
0.7400000095367432,755,26,1.28685462474823,,
,755,26,,7.967358589172363,1.3659334182739258
0.7355555295944214,783,27,1.2928978204727173,,
,783,27,,7.694841384887695,1.3633215427398682
0.7511110901832581,811,28,1.2897624969482422,,
,811,28,,7.336246013641357,1.3638135194778442
0.7377777695655823,839,29,1.282728910446167,,
,839,29,,7.30777645111084,1.3642081022262573
0.7333333492279053,867,30,1.2872096300125122,,
,867,30,,7.364854335784912,1.3631799221038818
0.7355555295944214,895,31,1.2874361276626587,,
,895,31,,7.121522426605225,1.3628932237625122
0.746666669845581,923,32,1.2780851125717163,,
,923,32,,7.702670097351074,1.3636906147003174
0.7444444298744202,951,33,1.2786022424697876,,
,951,33,,7.2102556228637695,1.3624292612075806
0.742222249507904,979,34,1.2833771705627441,,
,979,34,,7.759994029998779,1.3632529973983765
0.7355555295944214,1007,35,1.2854490280151367,,
,1007,35,,7.871250152587891,1.3637149333953857
0.7288888692855835,1035,36,1.2933346033096313,,
,1035,36,,8.023208618164062,1.3636387586593628
0.742222249507904,1063,37,1.2811660766601562,,
,1063,37,,7.7231621742248535,1.3617192506790161
0.7444444298744202,1091,38,1.2813827991485596,,
,1091,38,,6.822457313537598,1.3616609573364258
0.7400000095367432,1119,39,1.283842921257019,,
,1119,39,,6.916044235229492,1.3621766567230225
0.7444444298744202,1147,40,1.2806754112243652,,
,1147,40,,7.967248916625977,1.3627530336380005
0.7311111092567444,1175,41,1.289276123046875,,
,1175,41,,7.684108734130859,1.3614929914474487
0.7511110901832581,1203,42,1.2842603921890259,,
,1203,42,,7.621809482574463,1.3621246814727783
0.7400000095367432,1231,43,1.2831417322158813,,
,1231,43,,7.187839508056641,1.3625136613845825
0.7311111092567444,1259,44,1.2908295392990112,,
,1259,44,,7.398791313171387,1.3613662719726562
0.7355555295944214,1287,45,1.2877415418624878,,
,1287,45,,7.3623456954956055,1.361087679862976
0.746666669845581,1315,46,1.2861651182174683,,
,1315,46,,7.344945907592773,1.361822485923767
0.7400000095367432,1343,47,1.283302664756775,,
,1343,47,,7.221191883087158,1.3605034351348877
0.7444444298744202,1371,48,1.2812654972076416,,
,1371,48,,7.181526184082031,1.3632254600524902
0.7333333492279053,1399,49,1.2903239727020264,,
,1399,49,,7.181003570556641,1.3594913482666016
0.7377777695655823,1427,50,1.2871776819229126,,
,1427,50,,7.4366774559021,1.36103093624115
0.7377777695655823,1455,51,1.2889363765716553,,
,1455,51,,7.167519569396973,1.362117886543274
0.7288888692855835,1483,52,1.2916089296340942,,
,1483,52,,7.481414794921875,1.361772060394287
0.7133333086967468,1511,53,1.2879208326339722,,
,1511,53,,7.21163272857666,1.3609470129013062
0.7333333492279053,1539,54,1.290268063545227,,
,1539,54,,7.45947265625,1.361644983291626
0.7355555295944214,1567,55,1.28520667552948,,
,1567,55,,6.6799635887146,1.3625677824020386
0.7311111092567444,1595,56,1.2927563190460205,,
,1595,56,,6.837939262390137,1.3604451417922974
0.7355555295944214,1623,57,1.287954330444336,,
,1623,57,,7.75965690612793,1.3603068590164185
0.7488889098167419,1651,58,1.2806670665740967,,
