step,val_acc,val_loss,epoch,train_loss,train_epoch_time
18,0.4000000059604645,1.742539405822754,0,,
18,,,0,1.774038553237915,1.9496819972991943
37,0.4000000059604645,1.6497199535369873,1,,
37,,,1,1.7050466537475586,4.597443103790283
56,0.4000000059604645,1.5928212404251099,2,,
56,,,2,1.6225939989089966,7.34632682800293
75,0.4000000059604645,1.5814862251281738,3,,
75,,,3,1.593087911605835,5.173750877380371
94,0.39411765336990356,1.580528736114502,4,,
94,,,4,1.5869932174682617,4.865262985229492
113,0.4000000059604645,1.5794909000396729,5,,
113,,,5,1.5855910778045654,4.81326961517334
132,0.4000000059604645,1.5787602663040161,6,,
132,,,6,1.5848119258880615,5.153835296630859
151,0.39411765336990356,1.578522801399231,7,,
151,,,7,1.5839952230453491,5.921151161193848
170,0.39411765336990356,1.5787413120269775,8,,
170,,,8,1.5834354162216187,5.215338706970215
189,0.4000000059604645,1.5776550769805908,9,,
189,,,9,1.5832034349441528,5.533532619476318
208,0.39411765336990356,1.578495740890503,10,,
208,,,10,1.5831557512283325,5.39594841003418
227,0.38823530077934265,1.5780941247940063,11,,
227,,,11,1.5813219547271729,5.789319038391113
246,0.4000000059604645,1.5764718055725098,12,,
246,,,12,1.5802103281021118,5.957991600036621
265,0.39411765336990356,1.5768755674362183,13,,
265,,,13,1.5793789625167847,5.66392183303833
284,0.4000000059604645,1.5756162405014038,14,,
284,,,14,1.5777080059051514,5.651088714599609
303,0.40294116735458374,1.5747559070587158,15,,
303,,,15,1.576140284538269,5.639500617980957
322,0.3911764621734619,1.5739537477493286,16,,
322,,,16,1.5748704671859741,5.067543029785156
341,0.4000000059604645,1.5736361742019653,17,,
341,,,17,1.574114203453064,5.377429962158203
360,0.40882351994514465,1.57188880443573,18,,
360,,,18,1.572196364402771,6.516827583312988
379,0.42352941632270813,1.569172739982605,19,,
379,,,19,1.5691118240356445,4.996073246002197
398,0.42352941632270813,1.5679019689559937,20,,
398,,,20,1.568403959274292,5.066035270690918
417,0.4117647111415863,1.5656620264053345,21,,
417,,,21,1.565885066986084,5.348000526428223
436,0.4382352828979492,1.563435673713684,22,,
436,,,22,1.5635968446731567,5.592843055725098
455,0.42352941632270813,1.563059687614441,23,,
455,,,23,1.5617016553878784,5.57828426361084
474,0.40294116735458374,1.5648455619812012,24,,
474,,,24,1.5616064071655273,5.7660417556762695
493,0.4205882251262665,1.5609748363494873,25,,
493,,,25,1.5594227313995361,6.185505390167236
512,0.4882352948188782,1.554931402206421,26,,
512,,,26,1.5564886331558228,5.094748497009277
531,0.4323529303073883,1.5533357858657837,27,,
531,,,27,1.5544098615646362,5.128716468811035
550,0.44411763548851013,1.5492146015167236,28,,
550,,,28,1.552498459815979,5.329864978790283
569,0.49705880880355835,1.5459438562393188,29,,
569,,,29,1.5513503551483154,5.588826656341553
588,0.44999998807907104,1.5429282188415527,30,,
588,,,30,1.547595739364624,6.397298812866211
607,0.44411763548851013,1.54135000705719,31,,
607,,,31,1.5473363399505615,5.430924415588379
626,0.5264706015586853,1.5377477407455444,32,,
626,,,32,1.5444575548171997,5.302184104919434
645,0.5470588207244873,1.5335553884506226,33,,
645,,,33,1.5410658121109009,4.78558349609375
664,0.5588235259056091,1.528960943222046,34,,
664,,,34,1.538216471672058,5.508286476135254
683,0.4676470458507538,1.5288835763931274,35,,
683,,,35,1.5352792739868164,6.208330154418945
702,0.5088235139846802,1.5229542255401611,36,,
702,,,36,1.5327348709106445,4.9284234046936035
721,0.47647058963775635,1.5224730968475342,37,,
721,,,37,1.5301095247268677,6.12464714050293
740,0.5029411911964417,1.5170031785964966,38,,
740,,,38,1.5274981260299683,5.603609561920166
759,0.5441176295280457,1.5150539875030518,39,,
759,,,39,1.52580726146698,5.882820129394531
778,0.5529412031173706,1.511603832244873,40,,
778,,,40,1.5217435359954834,5.513289451599121
797,0.47647058963775635,1.5121726989746094,41,,
797,,,41,1.5205004215240479,6.279689788818359
816,0.49705880880355835,1.5091572999954224,42,,
816,,,42,1.5187115669250488,5.218981742858887
835,0.5382353067398071,1.5029672384262085,43,,
835,,,43,1.5165623426437378,5.593491554260254
854,0.5676470398902893,1.5013927221298218,44,,
854,,,44,1.5142263174057007,5.478037357330322
873,0.5617647171020508,1.5001401901245117,45,,
873,,,45,1.513262391090393,5.401026725769043
892,0.5470588207244873,1.5067880153656006,46,,
892,,,46,1.5125504732131958,5.410208702087402
911,0.5,1.5000303983688354,47,,
911,,,47,1.5145212411880493,5.503991603851318
930,0.5441176295280457,1.4946850538253784,48,,
930,,,48,1.5056501626968384,5.560854911804199
949,0.529411792755127,1.4931272268295288,49,,
949,,,49,1.5044044256210327,5.538851737976074
968,0.5029411911964417,1.4928220510482788,50,,
968,,,50,1.5034148693084717,6.511489391326904
987,0.5735294222831726,1.4873216152191162,51,,
987,,,51,1.5022807121276855,5.372279644012451
1006,0.5735294222831726,1.4899550676345825,52,,
1006,,,52,1.4995231628417969,5.675021171569824
1025,0.550000011920929,1.4848521947860718,53,,
1025,,,53,1.5028212070465088,5.784645080566406
1044,0.5676470398902893,1.4831085205078125,54,,
1044,,,54,1.503648281097412,5.673978328704834
1063,0.5558823347091675,1.4812307357788086,55,,
1063,,,55,1.4951776266098022,5.285683631896973
1082,0.591176450252533,1.4763094186782837,56,,
1082,,,56,1.4941678047180176,5.78372859954834
1101,0.6117647290229797,1.4861150979995728,57,,
1101,,,57,1.4919087886810303,5.8076324462890625
1120,0.5676470398902893,1.4732334613800049,58,,
1120,,,58,1.4966557025909424,6.187866687774658
