step,val_acc,val_loss,epoch,train_loss,train_epoch_time
1063,0.5577777624130249,1.4931095838546753,37,,
1063,,,37,1.5035934448242188,6.691852569580078
1091,0.5688889026641846,1.49966299533844,38,,
1091,,,38,1.5042026042938232,6.689949035644531
1119,0.5422222018241882,1.497861385345459,39,,
1119,,,39,1.501467227935791,6.990745544433594
1147,0.5644444227218628,1.4879642724990845,40,,
1147,,,40,1.4969520568847656,6.831071853637695
1175,0.551111102104187,1.4868578910827637,41,,
1175,,,41,1.4937162399291992,7.540700435638428
1203,0.5488888621330261,1.4908267259597778,42,,
1203,,,42,1.4918537139892578,7.6461896896362305
1231,0.551111102104187,1.4880146980285645,43,,
1231,,,43,1.4897100925445557,7.392385482788086
1259,0.5666666626930237,1.4862614870071411,44,,
1259,,,44,1.4903674125671387,6.978022575378418
1287,0.5555555820465088,1.4841572046279907,45,,
1287,,,45,1.4881685972213745,7.130088806152344
1315,0.5488888621330261,1.4866883754730225,46,,
1315,,,46,1.4881012439727783,7.111900806427002
1343,0.5444444417953491,1.4803118705749512,47,,
1343,,,47,1.4864832162857056,6.966012954711914
1371,0.5688889026641846,1.4809311628341675,48,,
1371,,,48,1.4855669736862183,6.947739601135254
1399,0.5355555415153503,1.4858683347702026,49,,
1399,,,49,1.4891929626464844,7.084681510925293
1427,0.5533333420753479,1.4787312746047974,50,,
1427,,,50,1.482193946838379,7.39874792098999
1455,0.5822222232818604,1.4786442518234253,51,,
1455,,,51,1.4822710752487183,6.95696496963501
1483,0.5333333611488342,1.4798258543014526,52,,
1483,,,52,1.4815140962600708,6.735714435577393
1511,0.5622222423553467,1.4781113862991333,53,,
1511,,,53,1.4803296327590942,6.963662147521973
1539,0.5488888621330261,1.486021637916565,54,,
1539,,,54,1.4807195663452148,7.317457675933838
1567,0.5777778029441833,1.4760820865631104,55,,
1567,,,55,1.4796067476272583,6.850081443786621
1595,0.5555555820465088,1.4792506694793701,56,,
1595,,,56,1.484324336051941,6.884666442871094
1623,0.5799999833106995,1.472141146659851,57,,
1623,,,57,1.475846290588379,7.1699323654174805
1651,0.5488888621330261,1.4808528423309326,58,,
1651,,,58,1.4759002923965454,6.762316703796387
1679,0.5733333230018616,1.473371148109436,59,,
1679,,,59,1.4765242338180542,7.323406219482422
1707,0.5577777624130249,1.4752302169799805,60,,
1707,,,60,1.4758355617523193,6.776457786560059
1735,0.6200000047683716,1.4747750759124756,61,,
1735,,,61,1.4765077829360962,6.765248775482178
1763,0.5755555629730225,1.471535563468933,62,,
1763,,,62,1.4778095483779907,7.272514820098877
1791,0.5911111235618591,1.470138669013977,63,,
1791,,,63,1.4733140468597412,6.887541770935059
1819,0.5622222423553467,1.4725542068481445,64,,
1819,,,64,1.4732656478881836,6.900783538818359
1847,0.5711110830307007,1.4760690927505493,65,,
1847,,,65,1.4778358936309814,6.689095497131348
1875,0.5488888621330261,1.473095417022705,66,,
1875,,,66,1.474452018737793,6.646554946899414
1903,0.5755555629730225,1.4769349098205566,67,,
1903,,,67,1.4766876697540283,6.620401382446289
1931,0.54666668176651,1.478887915611267,68,,
1931,,,68,1.475328803062439,6.831182956695557
1959,0.5777778029441833,1.4741652011871338,69,,
1959,,,69,1.4757726192474365,6.621813774108887
1987,0.5577777624130249,1.4697080850601196,70,,
1987,,,70,1.4710451364517212,6.329408645629883
2015,0.5600000023841858,1.469501256942749,71,,
2015,,,71,1.4685428142547607,6.673718452453613
2043,0.597777783870697,1.4680930376052856,72,,
2043,,,72,1.467909812927246,6.744906902313232
2071,0.5911111235618591,1.4688074588775635,73,,
2071,,,73,1.4669346809387207,6.657322883605957
2099,0.5533333420753479,1.4694929122924805,74,,
2099,,,74,1.467389702796936,6.644662857055664
2127,0.5622222423553467,1.473732590675354,75,,
