val_loss,epoch,val_acc,step,train_epoch_time,train_loss
1.72616708278656,0,0.3588235378265381,18,,
,0,,18,2.8284382820129395,1.7591359615325928
1.673061728477478,1,0.3588235378265381,37,,
,1,,37,6.759784698486328,1.7024191617965698
1.6302335262298584,2,0.3705882430076599,56,,
,2,,56,10.33603286743164,1.6602842807769775
1.5936810970306396,3,0.3794117569923401,75,,
,3,,75,7.250164985656738,1.6203795671463013
1.570383071899414,4,0.4205882251262665,94,,
,4,,94,7.046562194824219,1.5915707349777222
1.5482319593429565,5,0.5147058963775635,113,,
,5,,113,7.285409450531006,1.5714595317840576
1.5246213674545288,6,0.5235294103622437,132,,
,6,,132,7.375897407531738,1.5513068437576294
1.5001486539840698,7,0.5352941155433655,151,,
,7,,151,6.708185195922852,1.52980637550354
1.4867959022521973,8,0.5588235259056091,170,,
,8,,170,7.262544631958008,1.5172450542449951
1.4819700717926025,9,0.5264706015586853,189,,
,9,,189,7.313512802124023,1.5049909353256226
1.4763113260269165,10,0.5382353067398071,208,,
,10,,208,7.147127628326416,1.4987303018569946
1.476489782333374,11,0.5323529243469238,227,,
,11,,227,7.715582847595215,1.4951318502426147
1.4694976806640625,12,0.550000011920929,246,,
,12,,246,7.165284156799316,1.4956228733062744
1.4636714458465576,13,0.5470588207244873,265,,
,13,,265,7.473459243774414,1.4903521537780762
1.4651241302490234,14,0.5441176295280457,284,,
,14,,284,6.924870491027832,1.4882251024246216
1.459502935409546,15,0.550000011920929,303,,
,15,,303,7.2417755126953125,1.4874329566955566
1.4546706676483154,16,0.5735294222831726,322,,
,16,,322,6.984808921813965,1.4817744493484497
1.4538590908050537,17,0.570588231086731,341,,
,17,,341,7.488714218139648,1.4819315671920776
1.454515814781189,18,0.5382353067398071,360,,
,18,,360,7.473649978637695,1.4841135740280151
1.4538220167160034,19,0.5441176295280457,379,,
,19,,379,7.1073079109191895,1.4787046909332275
1.4515559673309326,20,0.5529412031173706,398,,
,20,,398,7.2599897384643555,1.4751622676849365
1.4529813528060913,21,0.5588235259056091,417,,
,21,,417,7.201428413391113,1.4750362634658813
1.4479633569717407,22,0.5647059082984924,436,,
,22,,436,6.9416303634643555,1.4726893901824951
1.4433003664016724,23,0.570588231086731,455,,
,23,,455,7.145434379577637,1.4705398082733154
1.44634211063385,24,0.570588231086731,474,,
,24,,474,7.786522388458252,1.4724717140197754
1.4463915824890137,25,0.5676470398902893,493,,
,25,,493,7.225106716156006,1.468770980834961
1.4415055513381958,26,0.5676470398902893,512,,
,26,,512,7.594577789306641,1.4652113914489746
1.4429081678390503,27,0.5735294222831726,531,,
,27,,531,7.243788719177246,1.4651193618774414
1.4368356466293335,28,0.5823529362678528,550,,
,28,,550,7.146687984466553,1.464892864227295
1.4365410804748535,29,0.5882353186607361,569,,
,29,,569,6.467700004577637,1.4619146585464478
1.4414485692977905,30,0.570588231086731,588,,
,30,,588,6.982129096984863,1.4590247869491577
1.4316914081573486,31,0.5852941274642944,607,,
,31,,607,7.116930961608887,1.458871841430664
1.4339332580566406,32,0.5735294222831726,626,,
,32,,626,7.0457916259765625,1.4555004835128784
1.4335241317749023,33,0.5676470398902893,645,,
,33,,645,7.334941864013672,1.4572649002075195
1.431607723236084,34,0.5794117450714111,664,,
,34,,664,8.317980766296387,1.4545810222625732
1.4446414709091187,35,0.5735294222831726,683,,
,35,,683,6.715940475463867,1.4555999040603638
1.4208333492279053,36,0.6294117569923401,702,,
,36,,702,7.01502799987793,1.4519076347351074
1.434073805809021,37,0.570588231086731,721,,
,37,,721,6.970315933227539,1.4484835863113403
1.4303622245788574,38,0.5764706134796143,740,,
,38,,740,7.443807601928711,1.4483625888824463
1.426836371421814,39,0.5823529362678528,759,,
,39,,759,7.622689247131348,1.446601152420044
1.4266283512115479,40,0.5794117450714111,778,,
,40,,778,7.786437511444092,1.4437075853347778
1.4215302467346191,41,0.591176450252533,797,,
,41,,797,7.309772491455078,1.4423006772994995
1.4215633869171143,42,0.6176470518112183,816,,
,42,,816,7.223589897155762,1.4421974420547485
1.4312876462936401,43,0.5852941274642944,835,,
,43,,835,7.652843475341797,1.439898133277893
1.4278969764709473,44,0.5823529362678528,854,,
,44,,854,6.803009986877441,1.4398127794265747
1.4261488914489746,45,0.5823529362678528,873,,
,45,,873,6.944851875305176,1.4393421411514282
1.4211643934249878,46,0.5970588326454163,892,,
,46,,892,7.21835994720459,1.4378420114517212
1.424102544784546,47,0.6176470518112183,911,,
,47,,911,7.2101287841796875,1.4399328231811523
1.4189904928207397,48,0.591176450252533,930,,
,48,,930,6.550626754760742,1.4382468461990356
1.4203739166259766,49,0.5852941274642944,949,,
,49,,949,7.162402153015137,1.4379857778549194
1.4226598739624023,50,0.6205882430076599,968,,
,50,,968,7.352121353149414,1.4370851516723633
1.4168767929077148,51,0.6058823466300964,987,,
,51,,987,6.899954319000244,1.4364200830459595
1.4160150289535522,52,0.6117647290229797,1006,,
,52,,1006,7.296826362609863,1.4337772130966187
1.4161124229431152,53,0.6058823466300964,1025,,
,53,,1025,7.549798011779785,1.4315404891967773
1.4147433042526245,54,0.6117647290229797,1044,,
,54,,1044,6.969964981079102,1.4311277866363525
1.4110629558563232,55,0.6117647290229797,1063,,
,55,,1063,7.306975364685059,1.433876872062683
1.4185349941253662,56,0.6058823466300964,1082,,
,56,,1082,7.307766914367676,1.436091661453247
1.4108649492263794,57,0.6088235378265381,1101,,
,57,,1101,7.400182723999023,1.4334861040115356
1.4350371360778809,58,0.5735294222831726,1120,,
,58,,1120,7.368959426879883,1.4313489198684692
