val_loss,epoch,val_acc,step,train_epoch_time,train_loss
1.408197045326233,67,0.6205882430076599,1291,,
,67,,1291,6.9441423416137695,1.4288536310195923
1.4125854969024658,68,0.6029411554336548,1310,,
,68,,1310,7.019898414611816,1.4272373914718628
1.4158328771591187,69,0.6058823466300964,1329,,
,69,,1329,7.239477634429932,1.427712321281433
1.4259930849075317,70,0.5735294222831726,1348,,
,70,,1348,7.058365821838379,1.4296025037765503
1.4106528759002686,71,0.6117647290229797,1367,,
,71,,1367,7.605188369750977,1.4294034242630005
1.412730097770691,72,0.6352941393852234,1386,,
,72,,1386,6.9178900718688965,1.432768702507019
1.4145355224609375,73,0.5970588326454163,1405,,
,73,,1405,6.810085296630859,1.4300720691680908
1.4168647527694702,74,0.6176470518112183,1424,,
,74,,1424,7.031403541564941,1.4275562763214111
1.4098937511444092,75,0.6088235378265381,1443,,
,75,,1443,7.298599720001221,1.4301273822784424
1.4333540201187134,76,0.570588231086731,1462,,
,76,,1462,7.059172630310059,1.4337371587753296
1.4134262800216675,77,0.6000000238418579,1481,,
,77,,1481,7.560564994812012,1.426126480102539
1.4180248975753784,78,0.5970588326454163,1500,,
,78,,1500,7.977344989776611,1.4257277250289917
1.4081374406814575,79,0.6176470518112183,1519,,
,79,,1519,7.545075416564941,1.425289273262024
1.414797067642212,80,0.6000000238418579,1538,,
,80,,1538,7.225054740905762,1.423628568649292
1.3989132642745972,81,0.6323529481887817,1557,,
,81,,1557,7.693099021911621,1.4235399961471558
1.409522533416748,82,0.6088235378265381,1576,,
,82,,1576,7.601182460784912,1.4245142936706543
1.4072275161743164,83,0.6205882430076599,1595,,
,83,,1595,8.328450202941895,1.427004098892212
1.4088529348373413,84,0.6147058606147766,1614,,
,84,,1614,7.551563262939453,1.4208354949951172
1.415018916130066,85,0.6000000238418579,1633,,
,85,,1633,7.841438293457031,1.4228122234344482
1.402178406715393,86,0.6352941393852234,1652,,
,86,,1652,7.376970291137695,1.4259964227676392
1.4078142642974854,87,0.6235294342041016,1671,,
,87,,1671,7.413433074951172,1.427757978439331
1.4338444471359253,88,0.5852941274642944,1690,,
,88,,1690,7.996157646179199,1.4322575330734253
1.4005517959594727,89,0.6205882430076599,1709,,
,89,,1709,7.393728256225586,1.4299473762512207
1.4171379804611206,90,0.5941176414489746,1728,,
,90,,1728,7.424561023712158,1.421956181526184
1.406917691230774,91,0.6235294342041016,1747,,
,91,,1747,7.71251106262207,1.4206435680389404
1.4103333950042725,92,0.6000000238418579,1766,,
,92,,1766,7.971607208251953,1.4213448762893677
1.4056928157806396,93,0.6117647290229797,1785,,
,93,,1785,7.204366683959961,1.4198012351989746
1.4117807149887085,94,0.6029411554336548,1804,,
,94,,1804,7.349248886108398,1.4213733673095703
1.4064995050430298,95,0.6029411554336548,1823,,
,95,,1823,7.250755310058594,1.420204758644104
1.4138519763946533,96,0.6000000238418579,1842,,
,96,,1842,7.199087619781494,1.4201629161834717
1.4052107334136963,97,0.6147058606147766,1861,,
,97,,1861,7.513347625732422,1.42227303981781
1.410257339477539,98,0.6088235378265381,1880,,
,98,,1880,7.254952430725098,1.42086923122406
1.410375952720642,99,0.6088235378265381,1899,,
,99,,1899,7.67767333984375,1.4221011400222778
