step,epoch,val_loss,train_epoch_time,train_loss
6,0,0.6917999982833862,,
6,0,,4.6469807624816895,0.6943941116333008
13,1,0.6916469931602478,,
13,1,,8.058615684509277,0.693168580532074
20,2,0.6910957098007202,,
20,2,,8.272249221801758,0.6922417283058167
27,3,0.6903718709945679,,
27,3,,7.883321762084961,0.6909639835357666
34,4,0.6900814175605774,,
34,4,,8.061092376708984,0.692805290222168
41,5,0.6877986788749695,,
41,5,,8.546911239624023,0.6913192272186279
48,6,0.6854243874549866,,
48,6,,8.492963790893555,0.6902435421943665
55,7,0.6863878965377808,,
55,7,,8.189308166503906,0.6881365776062012
62,8,0.6866311430931091,,
62,8,,7.923730850219727,0.69134122133255
69,9,0.6871891021728516,,
69,9,,7.724809646606445,0.6881584525108337
76,10,0.6872444152832031,,
76,10,,8.363964080810547,0.6886903047561646
83,11,0.6848459243774414,,
83,11,,8.370206832885742,0.6891493797302246
90,12,0.684770941734314,,
90,12,,8.480613708496094,0.688258707523346
97,13,0.6838290691375732,,
97,13,,7.596425533294678,0.6872618794441223
104,14,0.6783853769302368,,
104,14,,7.920698165893555,0.685691237449646
111,15,0.6797291040420532,,
111,15,,7.959369659423828,0.6842136383056641
118,16,0.6790695190429688,,
118,16,,8.774247169494629,0.6848046183586121
125,17,0.6752368807792664,,
125,17,,8.569877624511719,0.6819843649864197
132,18,0.6245428323745728,,
132,18,,8.24547004699707,0.6645507216453552
139,19,0.5538343787193298,,
139,19,,8.30094051361084,0.6161928176879883
146,20,0.5590994954109192,,
146,20,,8.27259635925293,0.6141675710678101
153,21,0.578312873840332,,
153,21,,8.245652198791504,0.5986604690551758
160,22,0.5778891444206238,,
160,22,,8.537734985351562,0.5761683583259583
167,23,0.5575844049453735,,
167,23,,8.269116401672363,0.5720099806785583
174,24,0.559259295463562,,
174,24,,8.315192222595215,0.5678252577781677
181,25,0.5369478464126587,,
181,25,,8.53793716430664,0.5747452974319458
188,26,0.5161190032958984,,
188,26,,8.490357398986816,0.5747364163398743
