step,epoch,val_loss,train_epoch_time,train_loss
195,27,0.5229965448379517,,
195,27,,8.676717758178711,0.5649794936180115
202,28,0.5633493065834045,,
202,28,,8.108281135559082,0.5566617846488953
209,29,0.5672455430030823,,
209,29,,8.217126846313477,0.5557025074958801
216,30,0.49843624234199524,,
216,30,,8.549676895141602,0.5704323649406433
223,31,0.5007157921791077,,
223,31,,8.532378196716309,0.5554181933403015
230,32,0.5270837545394897,,
230,32,,8.327312469482422,0.5545089840888977
237,33,0.5940319299697876,,
237,33,,8.592631340026855,0.5543054342269897
244,34,0.5431413650512695,,
244,34,,8.408976554870605,0.5662268996238708
251,35,0.5453923344612122,,
251,35,,8.420145988464355,0.5681605935096741
258,36,0.5801124572753906,,
258,36,,8.99261474609375,0.5448329448699951
265,37,0.5334835052490234,,
265,37,,8.382589340209961,0.5517618656158447
272,38,0.5561305284500122,,
272,38,,8.277840614318848,0.5467054843902588
279,39,0.5443699359893799,,
279,39,,8.512544631958008,0.565457284450531
286,40,0.5317578911781311,,
286,40,,8.76201057434082,0.5650030374526978
293,41,0.5684441328048706,,
293,41,,8.670258522033691,0.5505133271217346
300,42,0.5406265258789062,,
300,42,,8.257076263427734,0.5489222407341003
307,43,0.5171906352043152,,
307,43,,8.187844276428223,0.5393309593200684
314,44,0.5165571570396423,,
314,44,,8.73606014251709,0.5700286626815796
321,45,0.5261746644973755,,
321,45,,8.884090423583984,0.5552511215209961
328,46,0.511320948600769,,
328,46,,9.035905838012695,0.5385245680809021
335,47,0.5524651408195496,,
335,47,,8.333772659301758,0.5399409532546997
342,48,0.6080639362335205,,
342,48,,8.271903991699219,0.5562517046928406
349,49,0.5128478407859802,,
349,49,,7.547127723693848,0.5445481538772583
356,50,0.5621820092201233,,
356,50,,8.83179759979248,0.5514160990715027
363,51,0.522454023361206,,
363,51,,8.367127418518066,0.5574475526809692
370,52,0.4831811189651489,,
370,52,,8.028270721435547,0.5469881892204285
377,53,0.4968530535697937,,
377,53,,8.119017601013184,0.5632331371307373
384,54,0.5757700204849243,,
384,54,,8.589265823364258,0.5422817468643188
391,55,0.5160898566246033,,
391,55,,8.633846282958984,0.5389754176139832
398,56,0.4653090238571167,,
398,56,,8.32306957244873,0.5278139114379883
405,57,0.5238853693008423,,
405,57,,8.682352066040039,0.52565598487854
412,58,0.5303319096565247,,
412,58,,8.977618217468262,0.5504858493804932
419,59,0.4913444519042969,,
419,59,,8.485026359558105,0.5553282499313354
426,60,0.48232096433639526,,
426,60,,8.631319999694824,0.5301058888435364
433,61,0.511793315410614,,
433,61,,8.397385597229004,0.5571298003196716
440,62,0.47916799783706665,,
440,62,,8.943346977233887,0.5320361852645874
447,63,0.46659666299819946,,
447,63,,8.412121772766113,0.5439705848693848
454,64,0.5042670369148254,,
454,64,,9.207359313964844,0.5399413108825684
461,65,0.5283324718475342,,
461,65,,9.5116548538208,0.5549637675285339
468,66,0.4911540448665619,,
468,66,,8.888362884521484,0.5252568125724792
475,67,0.5270723104476929,,
475,67,,8.267083168029785,0.531464695930481
482,68,0.4976625144481659,,
482,68,,8.647540092468262,0.5518760681152344
489,69,0.555461049079895,,
489,69,,8.58460807800293,0.5303629636764526
496,70,0.4681129455566406,,
496,70,,8.091239929199219,0.5358534455299377
503,71,0.497406005859375,,
503,71,,8.526731491088867,0.546098530292511
510,72,0.5065813064575195,,
510,72,,8.654374122619629,0.526271402835846
517,73,0.48747822642326355,,
517,73,,8.296733856201172,0.5409170985221863
524,74,0.4935135841369629,,
524,74,,8.78313159942627,0.5225610136985779
531,75,0.5395116806030273,,
531,75,,8.390413284301758,0.5221903920173645
538,76,0.4653100371360779,,
538,76,,8.060163497924805,0.5179224014282227
545,77,0.5000696182250977,,
545,77,,8.531919479370117,0.5318695306777954
552,78,0.5082018971443176,,
552,78,,8.477094650268555,0.5335081815719604
559,79,0.4847263693809509,,
559,79,,8.324599266052246,0.5182660818099976
566,80,0.4977308511734009,,
566,80,,8.539118766784668,0.5330230593681335
573,81,0.5309399962425232,,
573,81,,8.476922988891602,0.5423429012298584
580,82,0.4772323668003082,,
580,82,,8.43429946899414,0.542599618434906
587,83,0.5798352360725403,,
587,83,,8.710373878479004,0.5352568030357361
594,84,0.5115571022033691,,
594,84,,8.928974151611328,0.520831286907196
601,85,0.5194804668426514,,
601,85,,8.837478637695312,0.5279674530029297
608,86,0.5466549396514893,,
608,86,,8.72946834564209,0.546055793762207
615,87,0.47582143545150757,,
615,87,,8.677108764648438,0.5476346015930176
622,88,0.4589056074619293,,
622,88,,8.92831039428711,0.5396816730499268
629,89,0.5057949423789978,,
629,89,,8.747125625610352,0.5215129852294922
636,90,0.5264571905136108,,
636,90,,8.851299285888672,0.521410346031189
643,91,0.46989724040031433,,
643,91,,8.517875671386719,0.5209833979606628
650,92,0.5186021327972412,,
650,92,,8.35883903503418,0.5147141814231873
657,93,0.488619327545166,,
657,93,,8.775595664978027,0.5244176387786865
664,94,0.5580335259437561,,
664,94,,9.335952758789062,0.5296306014060974
671,95,0.5147945284843445,,
671,95,,8.662759780883789,0.5481451153755188
678,96,0.5440489053726196,,
678,96,,8.755212783813477,0.5105055570602417
685,97,0.5694498419761658,,
685,97,,8.76358413696289,0.5278111100196838
692,98,0.5277933478355408,,
692,98,,8.809090614318848,0.5526202321052551
699,99,0.533803403377533,,
699,99,,8.804810523986816,0.526828408241272
