epoch,val_acc,step,val_loss,train_epoch_time,train_loss
0,0.40294116735458374,18,1.7235877513885498,,
0,,18,,3.4365458488464355,1.7631357908248901
1,0.4000000059604645,37,1.6300733089447021,,
1,,37,,7.089427947998047,1.683403730392456
2,0.4000000059604645,56,1.5652997493743896,,
2,,56,,8.82446575164795,1.5987906455993652
3,0.5,75,1.5369300842285156,,
3,,75,,8.006817817687988,1.5531412363052368
4,0.5852941274642944,94,1.5120662450790405,,
4,,94,,7.153832912445068,1.5322643518447876
5,0.6000000238418579,113,1.4776750802993774,,
5,,113,,7.921572685241699,1.5034891366958618
6,0.6000000238418579,132,1.4403021335601807,,
6,,132,,7.334156036376953,1.4683648347854614
7,0.5941176414489746,151,1.4121911525726318,,
7,,151,,7.196530342102051,1.4374302625656128
8,0.5941176414489746,170,1.3904682397842407,,
8,,170,,7.326887130737305,1.4147700071334839
9,0.6088235378265381,189,1.373197078704834,,
9,,189,,7.889788627624512,1.3969886302947998
10,0.7323529124259949,208,1.3510267734527588,,
10,,208,,7.880660057067871,1.3802157640457153
11,0.6617646813392639,227,1.3502296209335327,,
11,,227,,8.253681182861328,1.3627198934555054
12,0.7764706015586853,246,1.315457820892334,,
12,,246,,7.028552055358887,1.349289059638977
13,0.779411792755127,265,1.3021458387374878,,
13,,265,,6.901433944702148,1.3363957405090332
14,0.7676470875740051,284,1.2948359251022339,,
14,,284,,7.489261627197266,1.3267087936401367
15,0.7823529243469238,303,1.2829715013504028,,
15,,303,,7.673765182495117,1.3179709911346436
16,0.7558823823928833,322,1.2879515886306763,,
16,,322,,7.391374588012695,1.314226746559143
17,0.7823529243469238,341,1.272820234298706,,
17,,341,,7.4854841232299805,1.305860161781311
18,0.7764706015586853,360,1.2684751749038696,,
18,,360,,7.5802412033081055,1.3017218112945557
19,0.770588219165802,379,1.2727051973342896,,
19,,379,,7.7882609367370605,1.2986491918563843
20,0.7529411911964417,398,1.2795847654342651,,
20,,398,,7.626160144805908,1.2961891889572144
21,0.7852941155433655,417,1.2568837404251099,,
21,,417,,7.263065338134766,1.2956146001815796
22,0.7735294103622437,436,1.2600932121276855,,
22,,436,,7.66127347946167,1.291524887084961
23,0.7823529243469238,455,1.2560157775878906,,
23,,455,,7.541318416595459,1.2909306287765503
24,0.7764706015586853,474,1.2579469680786133,,
24,,474,,7.521595001220703,1.2896407842636108
25,0.7764706015586853,493,1.260598063468933,,
25,,493,,7.300796031951904,1.2865291833877563
26,0.7735294103622437,512,1.257501482963562,,
26,,512,,7.437072277069092,1.2856849431991577
27,0.7617647051811218,531,1.2666369676589966,,
27,,531,,7.789157867431641,1.2843773365020752
28,0.75,550,1.2863467931747437,,
28,,550,,7.43438720703125,1.2823550701141357
29,0.770588219165802,569,1.258888602256775,,
29,,569,,7.122345447540283,1.2870060205459595
30,0.7852941155433655,588,1.245652198791504,,
30,,588,,6.094448089599609,1.28191339969635
31,0.7823529243469238,607,1.245409607887268,,
31,,607,,7.159537315368652,1.2807801961898804
32,0.7852941155433655,626,1.2436717748641968,,
32,,626,,5.994800090789795,1.2789472341537476
33,0.7823529243469238,645,1.245646357536316,,
33,,645,,6.671174049377441,1.2788140773773193
34,0.7882353067398071,664,1.2410588264465332,,
34,,664,,7.006277084350586,1.2777820825576782
35,0.7941176295280457,683,1.239342212677002,,
35,,683,,6.938732624053955,1.2807502746582031
36,0.7764706015586853,702,1.2463319301605225,,
36,,702,,6.7758469581604,1.276375412940979
37,0.7941176295280457,721,1.2371846437454224,,
37,,721,,6.678353786468506,1.2751277685165405
38,0.7970588207244873,740,1.2334349155426025,,
38,,740,,6.9709062576293945,1.2760300636291504
39,0.7941176295280457,759,1.2343090772628784,,
39,,759,,6.921393871307373,1.2786303758621216
40,0.7941176295280457,778,1.2364462614059448,,
40,,778,,7.067824363708496,1.275604248046875
41,0.7911764979362488,797,1.2368249893188477,,
41,,797,,7.009357452392578,1.2752093076705933
42,0.800000011920929,816,1.2314225435256958,,
42,,816,,6.789883613586426,1.2766921520233154
43,0.7882353067398071,835,1.2340372800827026,,
43,,835,,7.223868370056152,1.2738945484161377
44,0.7911764979362488,854,1.2376065254211426,,
44,,854,,6.780119895935059,1.2732294797897339
45,0.7882353067398071,873,1.2384601831436157,,
45,,873,,6.857302665710449,1.273311972618103
46,0.7852941155433655,892,1.2395765781402588,,
46,,892,,6.86468505859375,1.2712934017181396
47,0.7941176295280457,911,1.233644962310791,,
47,,911,,7.2602434158325195,1.2702640295028687
48,0.7941176295280457,930,1.2345013618469238,,
48,,930,,6.985403537750244,1.2705506086349487
49,0.7852941155433655,949,1.2417314052581787,,
49,,949,,7.242437839508057,1.2714645862579346
50,0.779411792755127,968,1.244264841079712,,
50,,968,,6.864106178283691,1.2712308168411255
51,0.7764706015586853,987,1.2445001602172852,,
51,,987,,6.3221306800842285,1.2688292264938354
52,0.7941176295280457,1006,1.2366275787353516,,
52,,1006,,7.069098472595215,1.2696819305419922
53,0.7941176295280457,1025,1.229938268661499,,
53,,1025,,6.499380111694336,1.2677457332611084
54,0.7911764979362488,1044,1.2308292388916016,,
54,,1044,,6.687764644622803,1.268052101135254
55,0.7882353067398071,1063,1.2332830429077148,,
55,,1063,,6.823750019073486,1.2695538997650146
56,0.800000011920929,1082,1.2279027700424194,,
56,,1082,,7.1220293045043945,1.2695306539535522
57,0.7911764979362488,1101,1.23445725440979,,
57,,1101,,6.244696617126465,1.2673535346984863
58,0.7911764979362488,1120,1.2342896461486816,,
58,,1120,,6.762903213500977,1.2669129371643066
