epoch,val_acc,step,val_loss,train_epoch_time,train_loss
67,,1291,,7.386910915374756,1.2643427848815918
68,0.7852941155433655,1310,1.2410720586776733,,
68,,1310,,7.195089340209961,1.2640173435211182
69,0.7941176295280457,1329,1.2326691150665283,,
69,,1329,,6.637739658355713,1.2663373947143555
70,0.7911764979362488,1348,1.2321889400482178,,
70,,1348,,6.772936820983887,1.2655671834945679
71,0.7823529243469238,1367,1.2371472120285034,,
71,,1367,,6.8771162033081055,1.2639431953430176
72,0.7941176295280457,1386,1.2323744297027588,,
72,,1386,,6.520651817321777,1.2652318477630615
73,0.800000011920929,1405,1.2261896133422852,,
73,,1405,,6.622114181518555,1.264736294746399
74,0.7970588207244873,1424,1.2255809307098389,,
74,,1424,,6.756523132324219,1.2632923126220703
75,0.7882353067398071,1443,1.2256617546081543,,
75,,1443,,6.961706161499023,1.2650139331817627
76,0.7970588207244873,1462,1.225023627281189,,
76,,1462,,7.004315376281738,1.2647528648376465
77,0.7882353067398071,1481,1.2303848266601562,,
77,,1481,,6.331535339355469,1.2648805379867554
78,0.7911764979362488,1500,1.2256028652191162,,
78,,1500,,6.505525588989258,1.262241244316101
79,0.7882353067398071,1519,1.2278960943222046,,
79,,1519,,7.338372230529785,1.2631385326385498
80,0.7941176295280457,1538,1.2301712036132812,,
80,,1538,,7.259422302246094,1.264136791229248
81,0.7970588207244873,1557,1.2255661487579346,,
81,,1557,,6.943000793457031,1.2608875036239624
82,0.7970588207244873,1576,1.2265361547470093,,
82,,1576,,7.6290059089660645,1.2638039588928223
83,0.779411792755127,1595,1.2423559427261353,,
83,,1595,,7.414071083068848,1.2622394561767578
84,0.7882353067398071,1614,1.2336970567703247,,
84,,1614,,7.394620895385742,1.263051986694336
85,0.7911764979362488,1633,1.2329487800598145,,
85,,1633,,7.143564701080322,1.2606087923049927
86,0.7911764979362488,1652,1.2292431592941284,,
86,,1652,,7.300995826721191,1.2616534233093262
87,0.7941176295280457,1671,1.2302378416061401,,
87,,1671,,7.318021774291992,1.2605905532836914
88,0.7911764979362488,1690,1.2306972742080688,,
88,,1690,,7.332414627075195,1.2600326538085938
89,0.800000011920929,1709,1.2252118587493896,,
89,,1709,,6.569995880126953,1.2606439590454102
90,0.7970588207244873,1728,1.22525954246521,,
90,,1728,,7.066709995269775,1.2615731954574585
91,0.8117647171020508,1747,1.2244200706481934,,
91,,1747,,7.0572686195373535,1.261115312576294
92,0.7970588207244873,1766,1.226282000541687,,
92,,1766,,6.971968650817871,1.2607908248901367
93,0.7882353067398071,1785,1.2319660186767578,,
93,,1785,,7.352798938751221,1.2613446712493896
94,0.7911764979362488,1804,1.2354545593261719,,
94,,1804,,7.345301628112793,1.2598953247070312
95,0.7970588207244873,1823,1.226662516593933,,
95,,1823,,7.392251014709473,1.2604186534881592
96,0.7882353067398071,1842,1.2347443103790283,,
96,,1842,,7.20194673538208,1.2605032920837402
97,0.7970588207244873,1861,1.229760766029358,,
97,,1861,,7.293984413146973,1.261202096939087
98,0.7911764979362488,1880,1.2305197715759277,,
98,,1880,,7.3297953605651855,1.2597019672393799
99,0.7882353067398071,1899,1.2331417798995972,,
99,,1899,,7.679460525512695,1.2601274251937866
