val_acc,epoch,val_loss,step,train_loss,train_epoch_time
0.5323529243469238,0,1.6327018737792969,18,,
,0,,18,1.7034095525741577,5.423719882965088
0.49117645621299744,1,1.5797520875930786,37,,
,1,,37,1.6048502922058105,10.687646865844727
0.5941176414489746,2,1.5018521547317505,56,,
,2,,56,1.5523258447647095,11.211841583251953
0.6176470518112183,3,1.4332727193832397,75,,
,3,,75,1.4669499397277832,10.67143726348877
0.6647058725357056,4,1.4133614301681519,94,,
,4,,94,1.425492525100708,11.445114135742188
0.7176470756530762,5,1.3738372325897217,113,,
,5,,113,1.3986785411834717,11.592987060546875
0.7264705896377563,6,1.3326185941696167,132,,
,6,,132,1.3428698778152466,11.537242889404297
0.7941176295280457,7,1.257834792137146,151,,
,7,,151,1.2916522026062012,11.437028884887695
0.7970588207244873,8,1.2514501810073853,170,,
,8,,170,1.2626591920852661,11.337575912475586
0.7941176295280457,9,1.253166675567627,189,,
,9,,189,1.257133960723877,10.793245315551758
0.7882353067398071,10,1.2598903179168701,208,,
,10,,208,1.2531315088272095,10.278148651123047
0.7970588207244873,11,1.2485697269439697,227,,
,11,,227,1.2504444122314453,11.597460746765137
0.7970588207244873,12,1.2484426498413086,246,,
,12,,246,1.2494324445724487,13.277684211730957
0.7970588207244873,13,1.2485474348068237,265,,
,13,,265,1.2500889301300049,13.542142868041992
0.7941176295280457,14,1.2523359060287476,284,,
,14,,284,1.2476696968078613,13.159631729125977
0.7970588207244873,15,1.2476695775985718,303,,
,15,,303,1.247815489768982,13.636004447937012
0.7970588207244873,16,1.2475597858428955,322,,
,16,,322,1.245568037033081,12.953448295593262
0.7970588207244873,17,1.2493705749511719,341,,
,17,,341,1.2455055713653564,12.93818473815918
0.7823529243469238,18,1.2609797716140747,360,,
,18,,360,1.2470295429229736,12.861562728881836
0.7970588207244873,19,1.2485920190811157,379,,
,19,,379,1.24676513671875,12.69552993774414
0.7970588207244873,20,1.2471355199813843,398,,
,20,,398,1.2458763122558594,13.199982643127441
0.7970588207244873,21,1.2467247247695923,417,,
,21,,417,1.244547724723816,12.521871566772461
0.7970588207244873,22,1.2471654415130615,436,,
,22,,436,1.2445342540740967,13.167718887329102
0.7970588207244873,23,1.2470625638961792,455,,
,23,,455,1.2443299293518066,13.257092475891113
0.7970588207244873,24,1.2467849254608154,474,,
,24,,474,1.2442656755447388,13.495329856872559
0.7970588207244873,25,1.246701955795288,493,,
,25,,493,1.244226336479187,13.523321151733398
0.7970588207244873,26,1.2466665506362915,512,,
,26,,512,1.244199514389038,12.942580223083496
0.7970588207244873,27,1.2466387748718262,531,,
,27,,531,1.244176983833313,13.067771911621094
0.7970588207244873,28,1.2466050386428833,550,,
,28,,550,1.244154930114746,13.1049165725708
0.7970588207244873,29,1.2465791702270508,569,,
,29,,569,1.2441483736038208,13.892465591430664
0.7970588207244873,30,1.2465614080429077,588,,
,30,,588,1.244123935699463,12.922040939331055
0.7970588207244873,31,1.2465441226959229,607,,
,31,,607,1.2441097497940063,13.4960298538208
0.7970588207244873,32,1.2465369701385498,626,,
,32,,626,1.2440978288650513,13.325521469116211
0.7970588207244873,33,1.2465204000473022,645,,
,33,,645,1.244081735610962,13.630207061767578
0.7970588207244873,34,1.2465571165084839,664,,
,34,,664,1.2440822124481201,13.548042297363281
0.7970588207244873,35,1.2465234994888306,683,,
,35,,683,1.2440826892852783,12.655878067016602
0.7970588207244873,36,1.2465074062347412,702,,
,36,,702,1.2440680265426636,13.403057098388672
0.7970588207244873,37,1.2465161085128784,721,,
,37,,721,1.2440452575683594,13.006101608276367
0.7970588207244873,38,1.2465019226074219,740,,
,38,,740,1.2440425157546997,12.833976745605469
0.7970588207244873,39,1.2464765310287476,759,,
,39,,759,1.2440147399902344,12.754695892333984
0.7970588207244873,40,1.2464698553085327,778,,
,40,,778,1.2440028190612793,13.398566246032715
0.7970588207244873,41,1.246451497077942,797,,
,41,,797,1.24398672580719,13.004739761352539
0.7970588207244873,42,1.2464429140090942,816,,
,42,,816,1.243984341621399,12.945536613464355
0.7970588207244873,43,1.2464206218719482,835,,
,43,,835,1.2439467906951904,12.949544906616211
0.7970588207244873,44,1.2463903427124023,854,,
,44,,854,1.2439219951629639,13.258739471435547
0.7970588207244873,45,1.2463088035583496,873,,
,45,,873,1.243843913078308,12.790369987487793
0.7970588207244873,46,1.2459964752197266,892,,
,46,,892,1.2436729669570923,12.652423858642578
0.7970588207244873,47,1.2373089790344238,911,,
,47,,911,1.2419767379760742,13.074117660522461
0.7970588207244873,48,1.2241580486297607,930,,
,48,,930,1.225601315498352,13.182299613952637
0.8029412031173706,49,1.2273170948028564,949,,
,49,,949,1.2312657833099365,13.144966125488281
0.7941176295280457,50,1.2258174419403076,968,,
,50,,968,1.226966381072998,13.108009338378906
0.7970588207244873,51,1.2244086265563965,987,,
,51,,987,1.2259774208068848,12.363224983215332
0.8029412031173706,52,1.2246147394180298,1006,,
,52,,1006,1.2323691844940186,13.184029579162598
0.7823529243469238,53,1.225663661956787,1025,,
,53,,1025,1.2275524139404297,12.91948127746582
0.7941176295280457,54,1.2361916303634644,1044,,
,54,,1044,1.2232011556625366,12.819268226623535
0.7970588207244873,55,1.224615454673767,1063,,
,55,,1063,1.2239130735397339,11.957762718200684
0.800000011920929,56,1.2225111722946167,1082,,
,56,,1082,1.2230819463729858,11.078103065490723
0.800000011920929,57,1.222693920135498,1101,,
,57,,1101,1.2225528955459595,11.17474365234375
0.7970588207244873,58,1.2223149538040161,1120,,
,58,,1120,1.2220889329910278,10.90073013305664
