val_acc,step,val_loss,epoch,train_loss,train_epoch_time
0.32863849401474,10,1.7519160509109497,0,,
,10,,0,1.7712751626968384,2.401634693145752
0.32863849401474,21,1.7131860256195068,1,,
,21,,1,1.7399686574935913,4.504421234130859
0.32863849401474,32,1.6791454553604126,2,,
,32,,2,1.704291820526123,5.900817394256592
0.33568075299263,43,1.6441067457199097,3,,
,43,,3,1.6716058254241943,5.59674072265625
0.3403755724430084,54,1.6113808155059814,4,,
,54,,4,1.6363033056259155,6.590431213378906
0.43192487955093384,65,1.58914053440094,5,,
,65,,5,1.6069753170013428,5.476675510406494
0.4553990662097931,76,1.5717304944992065,6,,
,76,,6,1.5840550661087036,5.008037567138672
0.4577464759349823,87,1.5583335161209106,7,,
,87,,7,1.5648301839828491,6.649823188781738
0.4624413251876831,98,1.5495021343231201,8,,
,98,,8,1.5497242212295532,5.046067237854004
0.4647887349128723,109,1.541526198387146,9,,
,109,,9,1.537353515625,6.664790153503418
0.4647887349128723,120,1.5359959602355957,10,,
,120,,10,1.5291000604629517,5.681001663208008
0.4647887349128723,131,1.5315425395965576,11,,
,131,,11,1.5227510929107666,7.407783508300781
0.4647887349128723,142,1.5243946313858032,12,,
,142,,12,1.5165718793869019,5.215000629425049
0.5046948194503784,153,1.514420747756958,13,,
,153,,13,1.5104609727859497,5.670483589172363
0.5164319276809692,164,1.5073484182357788,14,,
,164,,14,1.505985140800476,6.201729774475098
0.5117371082305908,175,1.5058510303497314,15,,
,175,,15,1.5006002187728882,5.213369846343994
0.5211267471313477,186,1.5010215044021606,16,,
,186,,16,1.4955717325210571,4.800357818603516
0.5258215665817261,197,1.495471477508545,17,,
,197,,17,1.4920940399169922,7.088155746459961
0.5258215665817261,208,1.4923903942108154,18,,
,208,,18,1.4890528917312622,5.62916374206543
0.5234741568565369,219,1.491365909576416,19,,
,219,,19,1.484739899635315,5.548312187194824
0.5281690359115601,230,1.48749840259552,20,,
,230,,20,1.481111764907837,4.882846832275391
0.5234741568565369,241,1.4942876100540161,21,,
,241,,21,1.4799437522888184,6.114460468292236
0.5234741568565369,252,1.482533574104309,22,,
,252,,22,1.4797674417495728,5.017642974853516
0.5305164456367493,263,1.4831678867340088,23,,
,263,,23,1.4764970541000366,4.456225395202637
0.5234741568565369,274,1.4813848733901978,24,,
,274,,24,1.4739071130752563,5.327779293060303
0.5211267471313477,285,1.481549620628357,25,,
,285,,25,1.4732451438903809,5.064586639404297
0.5234741568565369,296,1.4860684871673584,26,,
,296,,26,1.4706320762634277,4.555389404296875
0.51408451795578,307,1.4767102003097534,27,,
,307,,27,1.4695379734039307,5.9177656173706055
0.5117371082305908,318,1.4809589385986328,28,,
,318,,28,1.4677658081054688,6.449869155883789
0.5093896985054016,329,1.4828029870986938,29,,
,329,,29,1.4661827087402344,5.700958251953125
0.5234741568565369,340,1.4771125316619873,30,,
,340,,30,1.4658820629119873,6.050676345825195
0.5023474097251892,351,1.482113003730774,31,,
,351,,31,1.4636826515197754,5.984249114990234
0.5093896985054016,362,1.4808051586151123,32,,
,362,,32,1.4623064994812012,6.990372657775879
0.5093896985054016,373,1.4809387922286987,33,,
,373,,33,1.4613072872161865,6.19184684753418
0.5023474097251892,384,1.4853259325027466,34,,
,384,,34,1.4605404138565063,6.029649257659912
0.5023474097251892,395,1.4833744764328003,35,,
,395,,35,1.461393117904663,6.444169998168945
0.5117371082305908,406,1.4804686307907104,36,,
,406,,36,1.458960771560669,6.494402885437012
0.5046948194503784,417,1.4845739603042603,37,,
,417,,37,1.4590505361557007,6.053901672363281
0.5023474097251892,428,1.4850058555603027,38,,
,428,,38,1.45774507522583,7.236440658569336
0.5,439,1.4871931076049805,39,,
,439,,39,1.4568188190460205,5.707416534423828
0.5305164456367493,450,1.479367971420288,40,,
,450,,40,1.456146001815796,6.153183937072754
0.5070422291755676,461,1.4846460819244385,41,,
,461,,41,1.4560185670852661,6.523678302764893
0.5164319276809692,472,1.487074851989746,42,,
,472,,42,1.455676555633545,5.996386528015137
0.5046948194503784,483,1.4818038940429688,43,,
,483,,43,1.4557685852050781,6.870033264160156
0.5070422291755676,494,1.4882912635803223,44,,
,494,,44,1.453292727470398,5.351406097412109
0.4953051507472992,505,1.492493987083435,45,,
,505,,45,1.4531792402267456,6.409680366516113
0.5234741568565369,516,1.4812695980072021,46,,
,516,,46,1.451077938079834,5.760270595550537
0.5,527,1.4930577278137207,47,,
,527,,47,1.4516692161560059,4.524281978607178
0.5187793374061584,538,1.483573079109192,48,,
,538,,48,1.4538629055023193,5.797266960144043
0.5046948194503784,549,1.4947954416275024,49,,
,549,,49,1.4511830806732178,5.436971664428711
0.5046948194503784,560,1.4909173250198364,50,,
,560,,50,1.4506664276123047,5.954049587249756
0.51408451795578,571,1.488919734954834,51,,
,571,,51,1.4515502452850342,6.700417518615723
0.5046948194503784,582,1.4925953149795532,52,,
,582,,52,1.449675440788269,4.602092742919922
0.5164319276809692,593,1.4894495010375977,53,,
,593,,53,1.4474902153015137,5.303652763366699
0.4976525902748108,604,1.4981361627578735,54,,
,604,,54,1.4470770359039307,5.749188423156738
0.51408451795578,615,1.488542914390564,55,,
,615,,55,1.4465522766113281,5.608577251434326
0.49295774102211,626,1.500320553779602,56,,
,626,,56,1.4465882778167725,5.503488540649414
0.5093896985054016,637,1.4964938163757324,57,,
,637,,57,1.446047306060791,5.058149337768555
0.51408451795578,648,1.496192216873169,58,,
,648,,58,1.4447072744369507,5.355499267578125
0.4976525902748108,659,1.4962799549102783,59,,
,659,,59,1.4443122148513794,7.4013166427612305
